😀	ꯒ꯭ꯔꯤꯅꯤꯡ ꯐꯦꯁ꯫
🏃🏿‍♂	man running: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏃‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯦꯡꯅꯔꯤ꯫
🏃‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯦꯡꯅꯔꯤ꯫
🏃🏻‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏃🏻‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏃🏼‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏃🏼‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏃🏽‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏃🏽‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏃🏾‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏃🏾‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏃🏿‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🏃🏿‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
💃	ꯅꯨꯄꯤꯅꯥ ꯅꯥꯟꯊꯣꯀꯄꯥ꯫
💃🏻	ꯅꯨꯄꯤꯅꯥ ꯅꯥꯟꯊꯣꯀꯄꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
💃🏼	ꯅꯨꯄꯤꯅꯥ ꯅꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
💃🏽	ꯅꯨꯄꯤꯒꯤ ꯅꯥꯠ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
💃🏾	ꯅꯨꯄꯤꯅꯥ ꯅꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
💃🏿	ꯅꯨꯄꯤꯅꯥ ꯅꯥꯟꯊꯣꯀꯄꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🕺	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯅꯥꯟꯊꯣꯀꯄꯥ꯫
🕺🏻	man dancing: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🕺🏼	man dancing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🕺🏽	man dancing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🕺🏾	man dancing: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🕺🏿	man dancing: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👯	ꯕꯟꯅꯤ ꯀꯥꯡꯕꯨ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ꯫
👯‍♂️	ꯕꯟꯅꯤ ꯀꯥꯡꯕꯨ ꯂꯩꯕꯥ ꯅꯨꯄꯥꯁꯤꯡ꯫
👯‍♂	ꯕꯟꯅꯤ ꯀꯥꯡꯕꯨ ꯂꯩꯕꯥ ꯅꯨꯄꯥꯁꯤꯡ꯫
👯‍♀️	ꯕꯟꯅꯤ ꯀꯥꯡꯕꯨ ꯂꯩꯕꯥ ꯅꯨꯄꯤꯁꯤꯡ꯫
👯‍♀	ꯕꯟꯅꯤ ꯀꯥꯡꯕꯨ ꯂꯩꯕꯥ ꯅꯨꯄꯤꯁꯤꯡ꯫
🧖	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ꯫
🧖🏻	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏼	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏽	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏾	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏿	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖‍♀️	ꯁ꯭ꯇꯤꯝ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ꯫
🧖‍♀	ꯁ꯭ꯇꯤꯝ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ꯫
🧖🏻‍♀️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏻‍♀	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏼‍♀️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏼‍♀	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏽‍♀️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏽‍♀	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏾‍♀️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏾‍♀	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏿‍♀️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧖🏿‍♀	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧖‍♂️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ꯫
🧖‍♂	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ꯫
🧖🏻‍♂️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏻‍♂	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏼‍♂️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏼‍♂	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏽‍♂️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏽‍♂	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏾‍♂️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏾‍♂	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧖🏿‍♂️	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧖🏿‍♂	ꯁ꯭ꯇꯤꯃꯤ ꯔꯨꯃꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯥꯞꯅꯥ ꯆꯠꯄꯥ꯫
🧗🏻	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯥꯞꯅꯥ ꯂꯩꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏼	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯥꯞꯅꯥ ꯂꯩꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏽	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯥꯞꯅꯥ ꯂꯩꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏾	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯥꯞꯅꯥ ꯂꯩꯕꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗🏿	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯥꯞꯅꯥ ꯂꯩꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯗꯥꯕꯥ꯫
🧗‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯗꯥꯕꯥ꯫
🧗🏻‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏻‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏼‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏼‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏽‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗🏽‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗🏾‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏾‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏿‍♀️	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗🏿‍♀	ꯅꯨꯄꯤ ꯂꯥꯟꯊꯣꯀꯄꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗‍♂️	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯥꯞꯅꯥ ꯆꯠꯄꯥ꯫
🧗‍♂	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯂꯥꯞꯅꯥ ꯆꯠꯄꯥ꯫
🧗🏻‍♂️	man climbing: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏻‍♂	man climbing: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏼‍♂️	man climbing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏼‍♂	man climbing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏽‍♂️	man climbing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗🏽‍♂	man climbing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗🏾‍♂️	man climbing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏾‍♂	man climbing: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧗🏿‍♂️	man climbing: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧗🏿‍♂	man climbing: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧘	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ꯫
🧘🏻	ꯂꯣꯇꯁꯀꯤ ꯄꯣꯖꯤꯁꯟꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏼	ꯂꯣꯇꯁꯀꯤ ꯄꯣꯖꯤꯁꯟꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏽	ꯂꯣꯇꯁꯀꯤ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏾	ꯂꯣꯇꯁꯀꯤ ꯄꯣꯖꯤꯁꯟꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏿	ꯂꯣꯇꯁꯀꯤ ꯄꯣꯖꯤꯁꯟꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧘‍♀️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ꯫
🧘‍♀	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ꯫
🧘🏻‍♀️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏻‍♀	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏼‍♀️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏼‍♀	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏽‍♀️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧘🏽‍♀	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧘🏾‍♀️	ꯂꯣꯇꯁꯀꯤ ꯄꯣꯖꯤꯁꯟꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏾‍♀	ꯂꯣꯇꯁꯀꯤ ꯄꯣꯖꯤꯁꯟꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏿‍♀️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧘🏿‍♀	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯅꯨꯄꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧘‍♂️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ꯫
🧘‍♂	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ꯫
🧘🏻‍♂️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏻‍♂	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏼‍♂️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏼‍♂	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏽‍♂️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧘🏽‍♂	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧘🏾‍♂️	ꯂꯣꯇꯁꯀꯤ ꯄꯣꯖꯤꯁꯟꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏾‍♂	ꯂꯣꯇꯁꯀꯤ ꯄꯣꯖꯤꯁꯟꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏿‍♂️	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧘🏿‍♂	ꯄꯗ꯭ꯝ ꯄꯣꯖꯤꯁꯅꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🛀	ꯂꯨ-ꯅꯥꯅꯕꯥ ꯃꯤꯑꯣꯏ꯫
🛀🏻	ꯂꯨ-ꯅꯥꯅꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🛀🏼	ꯂꯨ-ꯅꯥꯅꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🛀🏽	ꯂꯨ-ꯅꯥꯅꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🛀🏾	ꯂꯨ-ꯅꯥꯅꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
