😀	aghaidh grinning
🙋🏽‍♀️	bean ag ardú láimhe: ton craiceann meánach
🙋🏽‍♀	bean ag ardú láimhe: ton craiceann meánach
🙋🏾‍♀️	bean ag ardú láimhe: ton craiceann meán-dorcha
🙋🏾‍♀	bean ag ardú láimhe: ton craiceann meán-dorcha
🙋🏿‍♀️	bean ag ardú láimhe: ton craiceann dorcha
🙋🏿‍♀	bean ag ardú láimhe: ton craiceann dorcha
🙇	duine ag bogha
🙇🏻	duine ag bogha: ton craicinn éadrom
🙇🏼	duine ag bogha: ton craiceann meánach
🙇🏽	duine ag bogha: ton craiceann meánach
🙇🏾	duine ag bogha: ton craiceann meán-dorcha
🙇🏿	duine ag bogha: ton dorcha craicinn
🙇‍♂️	fear ag bogha
🙇‍♂	fear ag bogha
🙇🏻‍♂️	man bowing: ton craicinn éadrom
🙇🏻‍♂	man bowing: ton craicinn éadrom
🙇🏼‍♂️	man bowing: ton craiceann meánach
🙇🏼‍♂	man bowing: ton craiceann meánach
🙇🏽‍♂️	man bowing: ton craiceann meánach
🙇🏽‍♂	man bowing: ton craiceann meánach
🙇🏾‍♂️	man bowing: ton craiceann meán-dorcha
🙇🏾‍♂	man bowing: ton craiceann meán-dorcha
🙇🏿‍♂️	man bowing: ton dorcha craicinn
🙇🏿‍♂	man bowing: ton dorcha craicinn
🙇‍♀️	bean ag bogha
🙇‍♀	bean ag bogha
🙇🏻‍♀️	bean ag bogha: ton craicinn éadrom
🙇🏻‍♀	bean ag bogha: ton craicinn éadrom
🙇🏼‍♀️	Bean ag bogha: ton craiceann meánach
🙇🏼‍♀	Bean ag bogha: ton craiceann meánach
🙇🏽‍♀️	bean ag bogha: ton craiceann meánach
🙇🏽‍♀	bean ag bogha: ton craiceann meánach
🙇🏾‍♀️	bean ag bogha: ton craiceann meánach dorcha
🙇🏾‍♀	bean ag bogha: ton craiceann meánach dorcha
🙇🏿‍♀️	bean ag bogha: ton dorcha craicinn
🙇🏿‍♀	bean ag bogha: ton dorcha craicinn
🤦	aghaidh duine
🤦🏻	duine facepalming: ton craicinn éadrom
🤦🏼	person facepalming: ton craiceann meánach
🤦🏽	person facepalming: ton craiceann meánach
🤦🏾	person facepalming: ton craiceann meán-dorcha
🤦🏿	facepalming duine: ton dorcha craicinn
🤦‍♂️	fear aghaidh pailme
🤦‍♂	fear aghaidh pailme
🤦🏻‍♂️	man facepalming: ton craicinn éadrom
🤦🏻‍♂	man facepalming: ton craicinn éadrom
🤦🏼‍♂️	man facepalming: ton craiceann meánach
🤦🏼‍♂	man facepalming: ton craiceann meánach
🤦🏽‍♂️	man facepalming: ton craiceann meánach
🤦🏽‍♂	man facepalming: ton craiceann meánach
🤦🏾‍♂️	man facepalming: ton craiceann meán-dorcha
🤦🏾‍♂	man facepalming: ton craiceann meán-dorcha
🤦🏿‍♂️	man facepalming: ton dorcha craicinn
🤦🏿‍♂	man facepalming: ton dorcha craicinn
🤦‍♀️	bean aghaidh pailme
🤦‍♀	bean aghaidh pailme
🤦🏻‍♀️	bean facepalming: ton craicinn éadrom
🤦🏻‍♀	bean facepalming: ton craicinn éadrom
🤦🏼‍♀️	bean facepalming: ton craiceann meánach
🤦🏼‍♀	bean facepalming: ton craiceann meánach
🤦🏽‍♀️	bean facepalming: ton craiceann meánach
🤦🏽‍♀	bean facepalming: ton craiceann meánach
🤦🏾‍♀️	bean facepalming: ton craiceann meán-dorcha
🤦🏾‍♀	bean facepalming: ton craiceann meán-dorcha
🤦🏿‍♀️	bean facepalming: ton dorcha craicinn
🤦🏿‍♀	bean facepalming: ton dorcha craicinn
🤷	duine shrugging
🤷🏻	duine shrugging: ton craicinn éadrom
🤷🏼	person shrugging: ton craiceann meánach
🤷🏽	shrugging duine: ton craiceann meánach
🤷🏾	duine shrugging: ton craiceann meán-dorcha
🤷🏿	duine shrugging: ton dorcha craicinn
🤷‍♂️	fear shrugging
🤷‍♂	fear shrugging
🤷🏻‍♂️	man shrugging: ton craicinn éadrom
🤷🏻‍♂	man shrugging: ton craicinn éadrom
🤷🏼‍♂️	man shrugging: ton craiceann meánach
🤷🏼‍♂	man shrugging: ton craiceann meánach
🤷🏽‍♂️	man shrugging: ton craiceann meánach
🤷🏽‍♂	man shrugging: ton craiceann meánach
🤷🏾‍♂️	shrugging fear: ton craiceann meán-dorcha
🤷🏾‍♂	shrugging fear: ton craiceann meán-dorcha
🤷🏿‍♂️	shrugging fear: ton dorcha craicinn
🤷🏿‍♂	shrugging fear: ton dorcha craicinn
🤷‍♀️	bean shrugging
🤷‍♀	bean shrugging
🤷🏻‍♀️	bean shrugging: ton craicinn éadrom
🤷🏻‍♀	bean shrugging: ton craicinn éadrom
🤷🏼‍♀️	bean shrugging: ton craiceann meánach
🤷🏼‍♀	bean shrugging: ton craiceann meánach
🤷🏽‍♀️	bean shrugging: ton craiceann meánach
🤷🏽‍♀	bean shrugging: ton craiceann meánach
🤷🏾‍♀️	bhean shrugging: ton craiceann meán-dorcha
🤷🏾‍♀	bhean shrugging: ton craiceann meán-dorcha
🤷🏿‍♀️	bean shrugging: ton dorcha craicinn
🤷🏿‍♀	bean shrugging: ton dorcha craicinn
💆	duine ag fáil suathaireacht
💆🏻	duine ag fáil suathaireacht: ton craicinn éadrom
💆🏼	duine ag fáil suathaireacht: ton craiceann meánach
💆🏽	duine ag fáil suathaireacht: ton craiceann meánach
💆🏾	duine ag fáil suathaireacht: ton craiceann meán-dorcha
💆🏿	duine ag fáil suathaireacht: ton dorcha craicinn
💆‍♂️	fear ag fáil suathaireacht
💆‍♂	fear ag fáil suathaireacht
💆🏻‍♂️	fear ag fáil suathaireacht: ton craicinn éadrom
💆🏻‍♂	fear ag fáil suathaireacht: ton craicinn éadrom
💆🏼‍♂️	fear ag fáil suathaireacht: ton craicinn mheán-éadrom
💆🏼‍♂	fear ag fáil suathaireacht: ton craicinn mheán-éadrom
💆🏽‍♂️	fear ag fáil suathaireacht: ton craiceann meánach
💆🏽‍♂	fear ag fáil suathaireacht: ton craiceann meánach
💆🏾‍♂️	fear ag fáil suathaireacht: ton craiceann mheán-dorcha
💆🏾‍♂	fear ag fáil suathaireacht: ton craiceann mheán-dorcha
💆🏿‍♂️	fear ag fáil suathaireacht: ton craiceann dorcha
💆🏿‍♂	fear ag fáil suathaireacht: ton craiceann dorcha
💆‍♀️	bean ag fáil suathaireacht
💆‍♀	bean ag fáil suathaireacht
💆🏻‍♀️	bean ag fáil suathaireacht: ton craicinn éadrom
💆🏻‍♀	bean ag fáil suathaireacht: ton craicinn éadrom
💆🏼‍♀️	bean ag fáil suathaireacht: ton craiceann meánach
💆🏼‍♀	bean ag fáil suathaireacht: ton craiceann meánach
💆🏽‍♀️	bean ag fáil suathaireacht: ton craiceann meánach
💆🏽‍♀	bean ag fáil suathaireacht: ton craiceann meánach
💆🏾‍♀️	bean ag fáil suathaireacht: ton craiceann mheán-dorcha
💆🏾‍♀	bean ag fáil suathaireacht: ton craiceann mheán-dorcha
💆🏿‍♀️	bean ag fáil suathaireacht: ton craiceann dorcha
💆🏿‍♀	bean ag fáil suathaireacht: ton craiceann dorcha
💇	duine ag fáil bearradh gruaige
💇🏻	duine ag fáil bearradh gruaige: ton craicinn éadrom
💇🏼	duine ag fáil bearradh gruaige: ton craiceann meánach
💇🏽	duine ag fáil bearradh gruaige: ton meánach craicinn
💇🏾	duine ag fáil bearradh gruaige: ton craiceann meán-dorcha
💇🏿	duine ag fáil bearradh gruaige: ton dorcha craicinn
💇‍♂️	fear ag fáil bearradh gruaige
💇‍♂	fear ag fáil bearradh gruaige
💇🏻‍♂️	fear ag fáil haircut: ton craicinn éadrom
💇🏻‍♂	fear ag fáil haircut: ton craicinn éadrom
💇🏼‍♂️	fear ag fáil haircut: ton craiceann meánach
💇🏼‍♂	fear ag fáil haircut: ton craiceann meánach
💇🏽‍♂️	fear ag fáil haircut: ton craiceann meánach
💇🏽‍♂	fear ag fáil haircut: ton craiceann meánach
💇🏾‍♂️	fear ag fáil haircut: ton craiceann meán-dorcha
💇🏾‍♂	fear ag fáil haircut: ton craiceann meán-dorcha
💇🏿‍♂️	fear ag fáil haircut: ton dorcha craicinn
💇🏿‍♂	fear ag fáil haircut: ton dorcha craicinn
💇‍♀️	bean ag fáil bearradh gruaige
💇‍♀	bean ag fáil bearradh gruaige
💇🏻‍♀️	bean ag fáil gruaige: ton craicinn éadrom
💇🏻‍♀	bean ag fáil gruaige: ton craicinn éadrom
💇🏼‍♀️	bean ag fáil gruaige: ton craiceann meánach
💇🏼‍♀	bean ag fáil gruaige: ton craiceann meánach
💇🏽‍♀️	bean ag fáil bearradh gruaige: ton craiceann meánach
💇🏽‍♀	bean ag fáil bearradh gruaige: ton craiceann meánach
💇🏾‍♀️	bean ag fáil bearradh gruaige: ton craiceann meán-dorcha
💇🏾‍♀	bean ag fáil bearradh gruaige: ton craiceann meán-dorcha
💇🏿‍♀️	bean ag fáil bearradh gruaige: ton dorcha craicinn
💇🏿‍♀	bean ag fáil bearradh gruaige: ton dorcha craicinn
🚶	duine ag siúl
🚶🏻	duine ag siúl: ton craicinn éadrom
🚶🏼	duine ag siúl: ton craiceann meánach
🚶🏽	duine ag siúl: ton craiceann meánach
🚶🏾	duine ag siúl: ton craiceann meán-dorcha
🚶🏿	duine ag siúl: ton dorcha craicinn
🚶‍♂️	fear ag siúl
🚶‍♂	fear ag siúl
🚶🏻‍♂️	fear ag siúl: ton craicinn éadrom
🚶🏻‍♂	fear ag siúl: ton craicinn éadrom
🚶🏼‍♂️	fear ag siúl: ton craiceann meánach
🚶🏼‍♂	fear ag siúl: ton craiceann meánach
🚶🏽‍♂️	fear ag siúl: ton craiceann meánach
🚶🏽‍♂	fear ag siúl: ton craiceann meánach
🚶🏾‍♂️	fear ag siúl: ton craiceann meán-dorcha
🚶🏾‍♂	fear ag siúl: ton craiceann meán-dorcha
🚶🏿‍♂️	fear ag siúl: ton dorcha craicinn
🚶🏿‍♂	fear ag siúl: ton dorcha craicinn
🚶‍♀️	bean ag siúl
🚶‍♀	bean ag siúl
🚶🏻‍♀️	bean ag siúl: ton craicinn éadrom
🚶🏻‍♀	bean ag siúl: ton craicinn éadrom
🚶🏼‍♀️	bean ag siúl: ton craiceann meánach
🚶🏼‍♀	bean ag siúl: ton craiceann meánach
🚶🏽‍♀️	bean ag siúl: ton craiceann meánach
🚶🏽‍♀	bean ag siúl: ton craiceann meánach
🚶🏾‍♀️	bean ag siúl: ton craiceann meán-dorcha
🚶🏾‍♀	bean ag siúl: ton craiceann meán-dorcha
🚶🏿‍♀️	bean ag siúl: ton dorcha craicinn
🚶🏿‍♀	bean ag siúl: ton dorcha craicinn
🏃	duine ag rith
🏃🏻	duine ag rith: ton craicinn éadrom
🏃🏼	duine ag rith: ton craiceann meánach
🏃🏽	duine ag rith: ton craiceann meánach
🏃🏾	duine ag rith: ton craiceann meán-dorcha
🏃🏿	duine ag rith: ton dorcha craicinn
🏃‍♂️	fear ag rith
🏃‍♂	fear ag rith
🏃🏻‍♂️	fear ag rith: ton craicinn éadrom
🏃🏻‍♂	fear ag rith: ton craicinn éadrom
🏃🏼‍♂️	fear ag rith: ton craiceann meánach
🏃🏼‍♂	fear ag rith: ton craiceann meánach
🏃🏽‍♂️	fear ag rith: ton craiceann meánach
🏃🏽‍♂	fear ag rith: ton craiceann meánach
🏃🏾‍♂️	fear ag rith: ton craiceann meán-dorcha
🏃🏾‍♂	fear ag rith: ton craiceann meán-dorcha
🏃🏿‍♂️	fear ag rith: ton dorcha craicinn
🏃🏿‍♂	fear ag rith: ton dorcha craicinn
🏃‍♀️	bean ag rith
🏃‍♀	bean ag rith
🏃🏻‍♀️	bean ag rith: ton craicinn éadrom
🏃🏻‍♀	bean ag rith: ton craicinn éadrom
🏃🏼‍♀️	bean ag rith: ton craiceann meánach
🏃🏼‍♀	bean ag rith: ton craiceann meánach
🏃🏽‍♀️	bean ag rith: ton craiceann meánach
🏃🏽‍♀	bean ag rith: ton craiceann meánach
🏃🏾‍♀️	bean ag rith: ton craiceann mheán-dorcha
🏃🏾‍♀	bean ag rith: ton craiceann mheán-dorcha
🏃🏿‍♀️	bean ag rith: ton dorcha craicinn
🏃🏿‍♀	bean ag rith: ton dorcha craicinn
💃	bean ag damhsa
💃🏻	bean ag damhsa: ton craicinn éadrom
💃🏼	bean ag damhsa: ton craiceann meánach
💃🏽	bean ag damhsa: ton craiceann meánach
💃🏾	bean ag damhsa: ton craiceann meán-dorcha
💃🏿	bean ag damhsa: ton dorcha craicinn
🕺	fear ag damhsa
🕺🏻	fear ag damhsa: ton craicinn éadrom
🕺🏼	fear ag damhsa: ton craiceann meánach
🕺🏽	fear ag damhsa: ton craiceann meánach
🕺🏾	fear ag damhsa: ton craiceann meán-dorcha
🕺🏿	fear ag damhsa: ton dorcha craicinn
👯	daoine le cluasa coinín
👯‍♂️	fir le cluasa coinín
👯‍♂	fir le cluasa coinín
👯‍♀️	mná le cluasa coinín
👯‍♀	mná le cluasa coinín
🧖	duine i seomra gaile
🧖🏻	duine i seomra steamy: ton craicinn éadrom
🧖🏼	duine i seomra steamy: ton craiceann meánach
🧖🏽	duine i seomra steamy: ton craiceann meánach
🧖🏾	duine i seomra steamy: ton craiceann meán-dorcha
🧖🏿	duine i seomra steamy: ton dorcha craicinn
🧖‍♀️	bean i seomra gaile
🧖‍♀	bean i seomra gaile
🧖🏻‍♀️	bean i seomra steamy: ton craicinn éadrom
🧖🏻‍♀	bean i seomra steamy: ton craicinn éadrom
🧖🏼‍♀️	bean i seomra gaile: ton craiceann meánach
🧖🏼‍♀	bean i seomra gaile: ton craiceann meánach
🧖🏽‍♀️	bean i seomra gaile: ton craiceann meánach
🧖🏽‍♀	bean i seomra gaile: ton craiceann meánach
🧖🏾‍♀️	bean i seomra steamy: ton craiceann meán-dorcha
🧖🏾‍♀	bean i seomra steamy: ton craiceann meán-dorcha
🧖🏿‍♀️	bean i seomra gaile: ton dorcha craicinn
🧖🏿‍♀	bean i seomra gaile: ton dorcha craicinn
🧖‍♂️	fear i seomra gaile
🧖‍♂	fear i seomra gaile
🧖🏻‍♂️	fear i seomra steamy: ton craiceann éadrom
🧖🏻‍♂	fear i seomra steamy: ton craiceann éadrom
🧖🏼‍♂️	fear i seomra steamy: ton craiceann meánach
🧖🏼‍♂	fear i seomra steamy: ton craiceann meánach
🧖🏽‍♂️	fear i seomra steamy: ton craiceann meánach
🧖🏽‍♂	fear i seomra steamy: ton craiceann meánach
🧖🏾‍♂️	fear i seomra steamy: ton craiceann meán-dorcha
🧖🏾‍♂	fear i seomra steamy: ton craiceann meán-dorcha
🧖🏿‍♂️	fear i seomra steamy: ton dorcha craicinn
🧖🏿‍♂	fear i seomra steamy: ton dorcha craicinn
🧗	duine ag dreapadóireacht
🧗🏻	duine ag dreapadóireacht: ton craicinn éadrom
🧗🏼	duine ag dreapadóireacht: ton craiceann meánach
🧗🏽	duine ag dreapadóireacht: ton craiceann meánach
🧗🏾	duine ag dreapadóireacht: ton craiceann meán-dorcha
🧗🏿	duine ag dreapadóireacht: ton dorcha craicinn
🧗‍♀️	bean ag dreapadóireacht
🧗‍♀	bean ag dreapadóireacht
🧗🏻‍♀️	bean ag dreapadóireacht: ton craicinn éadrom
🧗🏻‍♀	bean ag dreapadóireacht: ton craicinn éadrom
🧗🏼‍♀️	bean dreapadóireachta: ton craiceann meánach
🧗🏼‍♀	bean dreapadóireachta: ton craiceann meánach
🧗🏽‍♀️	bean dreapadóireachta: ton craiceann meánach
🧗🏽‍♀	bean dreapadóireachta: ton craiceann meánach
🧗🏾‍♀️	bean dreapadóireachta: ton craiceann meán-dorcha
🧗🏾‍♀	bean dreapadóireachta: ton craiceann meán-dorcha
🧗🏿‍♀️	bean ag dreapadóireacht: ton dorcha craicinn
🧗🏿‍♀	bean ag dreapadóireacht: ton dorcha craicinn
🧗‍♂️	fear ag dreapadóireacht
🧗‍♂	fear ag dreapadóireacht
🧗🏻‍♂️	fear dreapadóireachta: ton craicinn éadrom
🧗🏻‍♂	fear dreapadóireachta: ton craicinn éadrom
🧗🏼‍♂️	fear dreapadóireachta: ton craiceann meánach
🧗🏼‍♂	fear dreapadóireachta: ton craiceann meánach
🧗🏽‍♂️	fear dreapadóireachta: ton craiceann meánach
🧗🏽‍♂	fear dreapadóireachta: ton craiceann meánach
🧗🏾‍♂️	fear dreapadóireachta: ton craiceann meán-dorcha
🧗🏾‍♂	fear dreapadóireachta: ton craiceann meán-dorcha
🧗🏿‍♂️	fear ag dreapadóireacht: ton dorcha craicinn
🧗🏿‍♂	fear ag dreapadóireacht: ton dorcha craicinn
🧘	duine i suíomh Lotus
🧘🏻	duine i suíomh Lotus: ton craiceann éadrom
🧘🏼	duine i suíomh Lotus: ton craiceann meánach
🧘🏽	duine i suíomh Lotus: ton craiceann meánach
🧘🏾	duine i suíomh Lotus: ton craiceann meán-dorcha
🧘🏿	duine i suíomh Lotus: ton dorcha craicinn
🧘‍♀️	bean i suíomh Lotus
🧘‍♀	bean i suíomh Lotus
🧘🏻‍♀️	bean i suíomh Lotus: ton craicinn éadrom
🧘🏻‍♀	bean i suíomh Lotus: ton craicinn éadrom
🧘🏼‍♀️	bean i suíomh Lotus: ton craiceann meánach
🧘🏼‍♀	bean i suíomh Lotus: ton craiceann meánach
🧘🏽‍♀️	bean i suíomh Lotus: ton craiceann meánach
🧘🏽‍♀	bean i suíomh Lotus: ton craiceann meánach
🧘🏾‍♀️	bean i suíomh Lotus: ton craiceann meán-dorcha
🧘🏾‍♀	bean i suíomh Lotus: ton craiceann meán-dorcha
🧘🏿‍♀️	bean i suíomh Lotus: ton craiceann dorcha
🧘🏿‍♀	bean i suíomh Lotus: ton craiceann dorcha
🧘‍♂️	fear i suíomh Lotus
🧘‍♂	fear i suíomh Lotus
🧘🏻‍♂️	fear i suíomh Lotus: ton craiceann éadrom
🧘🏻‍♂	fear i suíomh Lotus: ton craiceann éadrom
🧘🏼‍♂️	fear i suíomh Lotus: ton craiceann meánach
🧘🏼‍♂	fear i suíomh Lotus: ton craiceann meánach
🧘🏽‍♂️	fear i suíomh Lotus: ton craiceann meánach
🧘🏽‍♂	fear i suíomh Lotus: ton craiceann meánach
🧘🏾‍♂️	fear i suíomh Lotus: ton craiceann meán-dorcha
🧘🏾‍♂	fear i suíomh Lotus: ton craiceann meán-dorcha
🧘🏿‍♂️	fear i suíomh Lotus: ton craiceann dorcha
🧘🏿‍♂	fear i suíomh Lotus: ton craiceann dorcha
🛀	duine ag glacadh folcadh
🛀🏻	duine ag glacadh folcadh: ton craicinn éadrom
🛀🏼	duine ag glacadh folcadh: ton craiceann meánach
🛀🏽	duine ag glacadh folcadh: ton meánach craicinn
🛀🏾	duine ag glacadh folcadh: ton craiceann meán-dorcha
🛀🏿	duine ag glacadh folcadh: ton dorcha craicinn
🛌	duine sa leaba
🛌🏻	duine sa leaba: ton craicinn éadrom
🛌🏼	duine sa leaba: ton craiceann meánach
🛌🏽	duine sa leaba: ton meánach craicinn
🛌🏾	duine sa leaba: ton craiceann meán-dorcha
🛌🏿	duine sa leaba: ton dorcha craicinn
🕴️	fear i gculaith levitating
🕴	fear i gculaith levitating
🕴🏻	fear i gculaith levitating: ton craicinn éadrom
🕴🏼	fear i gculaith levitating: ton craiceann meán-éadrom
🕴🏽	fear i gculaith levitating: ton craiceann meánach
🕴🏾	fear i gculaith levitating: ton craiceann meán-dorcha
🕴🏿	fear i gculaith levitating: ton dorcha craicinn
🗣️	ag labhairt ceann
🗣	ag labhairt ceann
👤	meirge i scáthchruth
👥	busts i scáthchruth
🤺	fálú duine
🏇	rásaíocht capall
🏇🏻	rásaíocht capall: ton craiceann éadrom
🏇🏼	rásaíocht capall: ton craiceann meánach
🏇🏽	rásaíocht capall: ton craiceann meánach
🏇🏾	rásaíocht capall: ton craiceann meán-dorcha
🏇🏿	rásaíocht capall: ton dorcha craicinn
⛷️	sciálaí
⛷	sciálaí
🏂	snowboarder
🏂🏻	snowboarder: ton craicinn éadrom
🏂🏼	Ciall: ton craiceann meánach
🏂🏽	snowboarder: ton craiceann meánach
🏂🏾	snowboarder: ton craiceann meán-dorcha
🏂🏿	snowboarder: ton dorcha craicinn
🏌️	duine ag gailf
🏌	duine ag gailf
🏌🏻	duine ag gailf: ton craicinn éadrom
🏌🏼	duine gailf: ton craiceann meánach
🏌🏽	duine ag gailf: ton craiceann meánach
🏌🏾	duine gailf: ton craiceann meán-dorcha
🏌🏿	duine ag gailf: ton dorcha craicinn
🏌️‍♂️	fear gailf
🏌‍♂️	fear gailf
🏌️‍♂	fear gailf
🏌‍♂	fear gailf
🏌🏻‍♂️	fear gailf: ton craicinn éadrom
🏌🏻‍♂	fear gailf: ton craicinn éadrom
🏌🏼‍♂️	fear gailf: ton craiceann meánach
🏌🏼‍♂	fear gailf: ton craiceann meánach
🏌🏽‍♂️	fear gailf: ton craiceann meánach
🏌🏽‍♂	fear gailf: ton craiceann meánach
🏌🏾‍♂️	fear gailf: ton craiceann meán-dorcha
🏌🏾‍♂	fear gailf: ton craiceann meán-dorcha
🏌🏿‍♂️	fear gailf: ton dorcha craicinn
🏌🏿‍♂	fear gailf: ton dorcha craicinn
🏌️‍♀️	bean ag gailf
🏌‍♀️	bean ag gailf
🏌️‍♀	bean ag gailf
🏌‍♀	bean ag gailf
🏌🏻‍♀️	bean gailf: ton craicinn éadrom
🏌🏻‍♀	bean gailf: ton craicinn éadrom
🏌🏼‍♀️	bean gailf: ton craiceann meánach
🏌🏼‍♀	bean gailf: ton craiceann meánach
🏌🏽‍♀️	bean gailf: ton craiceann meánach
🏌🏽‍♀	bean gailf: ton craiceann meánach
🏌🏾‍♀️	bean gailf: ton craiceann meán-dorcha
🏌🏾‍♀	bean gailf: ton craiceann meán-dorcha
🏌🏿‍♀️	bean gailf: ton dorcha craicinn
🏌🏿‍♀	bean gailf: ton dorcha craicinn
🏄	duine ag surfáil
🏄🏻	duine ag surfáil: ton craicinn éadrom
🏄🏼	duine ag surfáil: ton craiceann meánach
🏄🏽	duine ag surfáil: ton craiceann meánach
🏄🏾	duine ag scimeáil: ton craiceann meán-dorcha
🏄🏿	duine ag surfáil: ton dorcha craicinn
🏄‍♂️	fear ag surfáil
🏄‍♂	fear ag surfáil
🏄🏻‍♂️	fear ag surfáil: ton craicinn éadrom
🏄🏻‍♂	fear ag surfáil: ton craicinn éadrom
🏄🏼‍♂️	fear ag surfáil: ton craiceann meánach
🏄🏼‍♂	fear ag surfáil: ton craiceann meánach
🏄🏽‍♂️	fear ag scimeáil: ton craiceann meánach
🏄🏽‍♂	fear ag scimeáil: ton craiceann meánach
🏄🏾‍♂️	fear ag scimeáil: ton craiceann meán-dorcha
🏄🏾‍♂	fear ag scimeáil: ton craiceann meán-dorcha
🏄🏿‍♂️	fear ag scimeáil: ton dorcha craicinn
🏄🏿‍♂	fear ag scimeáil: ton dorcha craicinn
🏄‍♀️	bean ag scimeáil
🏄‍♀	bean ag scimeáil
🏄🏻‍♀️	bean ag scimeáil: ton craicinn éadrom
🏄🏻‍♀	bean ag scimeáil: ton craicinn éadrom
🏄🏼‍♀️	bean ag surfáil: ton craiceann meánach
🏄🏼‍♀	bean ag surfáil: ton craiceann meánach
🏄🏽‍♀️	bean ag scimeáil: ton craiceann meánach
🏄🏽‍♀	bean ag scimeáil: ton craiceann meánach
🏄🏾‍♀️	bean ag scimeáil: ton craiceann meán-dorcha
🏄🏾‍♀	bean ag scimeáil: ton craiceann meán-dorcha
🏄🏿‍♀️	bean ag scimeáil: ton dorcha craicinn
🏄🏿‍♀	bean ag scimeáil: ton dorcha craicinn
🚣	bád rámhaíochta duine
🚣🏻	duine bád rámhaíochta: ton craicinn éadrom
🚣🏼	duine bád rámhaíochta: ton craiceann meánach
🚣🏽	duine bád rámhaíochta: ton craiceann meánach
🚣🏾	duine bád rámhaíochta: ton craiceann mheán-dorcha
🚣🏿	duine bád rámhaíochta: ton dorcha craicinn
🚣‍♂️	fear bád rámhaíochta
🚣‍♂	fear bád rámhaíochta
🚣🏻‍♂️	fear bád rámhaíochta: ton craicinn éadrom
🚣🏻‍♂	fear bád rámhaíochta: ton craicinn éadrom
🚣🏼‍♂️	fear bád rámhaíochta: ton craiceann meánach
🚣🏼‍♂	fear bád rámhaíochta: ton craiceann meánach
🚣🏽‍♂️	fear bád rámhaíochta: ton craiceann meánach
🚣🏽‍♂	fear bád rámhaíochta: ton craiceann meánach
🚣🏾‍♂️	fear bád rámhaíochta: ton craiceann meán-dorcha
🚣🏾‍♂	fear bád rámhaíochta: ton craiceann meán-dorcha
🚣🏿‍♂️	fear bád rámhaíochta: ton dorcha craicinn
🚣🏿‍♂	fear bád rámhaíochta: ton dorcha craicinn
🚣‍♀️	bean bád rámhaíochta
🚣‍♀	bean bád rámhaíochta
🚣🏻‍♀️	bád rámhaíochta bean: ton craicinn éadrom
🚣🏻‍♀	bád rámhaíochta bean: ton craicinn éadrom
🚣🏼‍♀️	bád rámhaíochta bean: ton craiceann meánach
🚣🏼‍♀	bád rámhaíochta bean: ton craiceann meánach
🚣🏽‍♀️	bean bád rámhaíochta: ton craiceann meánach
🚣🏽‍♀	bean bád rámhaíochta: ton craiceann meánach
🚣🏾‍♀️	bád rámhaíochta bean: ton craiceann mheán-dorcha
🚣🏾‍♀	bád rámhaíochta bean: ton craiceann mheán-dorcha
🚣🏿‍♀️	bád rámhaíochta bean: ton dorcha craicinn
🚣🏿‍♀	bád rámhaíochta bean: ton dorcha craicinn
🏊	duine ag snámh
🏊🏻	duine ag snámh: ton craicinn éadrom
🏊🏼	duine ag snámh: ton craiceann meánach
🏊🏽	duine ag snámh: ton meánach craicinn
🏊🏾	duine ag snámh: ton craiceann meán-dorcha
🏊🏿	duine ag snámh: ton dorcha craicinn
🏊‍♂️	fear ag snámh
🏊‍♂	fear ag snámh
🏊🏻‍♂️	fear ag snámh: ton craicinn éadrom
🏊🏻‍♂	fear ag snámh: ton craicinn éadrom
🏊🏼‍♂️	fear ag snámh: ton craiceann meánach
🏊🏼‍♂	fear ag snámh: ton craiceann meánach
🏊🏽‍♂️	fear ag snámh: ton craiceann meánach
🏊🏽‍♂	fear ag snámh: ton craiceann meánach
🏊🏾‍♂️	fear ag snámh: ton craiceann meán-dorcha
🏊🏾‍♂	fear ag snámh: ton craiceann meán-dorcha
🏊🏿‍♂️	fear ag snámh: ton dorcha craicinn
🏊🏿‍♂	fear ag snámh: ton dorcha craicinn
🏊‍♀️	bean ag snámh
🏊‍♀	bean ag snámh
🏊🏻‍♀️	bean ag snámh: ton craicinn éadrom
🏊🏻‍♀	bean ag snámh: ton craicinn éadrom
🏊🏼‍♀️	bean ag snámh: ton craiceann meánach
🏊🏼‍♀	bean ag snámh: ton craiceann meánach
🏊🏽‍♀️	bean ag snámh: ton craiceann meánach
🏊🏽‍♀	bean ag snámh: ton craiceann meánach
🏊🏾‍♀️	bean ag snámh: ton craiceann meán-dorcha
🏊🏾‍♀	bean ag snámh: ton craiceann meán-dorcha
🏊🏿‍♀️	bean ag snámh: ton dorcha craicinn
🏊🏿‍♀	bean ag snámh: ton dorcha craicinn
⛹️	duine ag preabadh liathróid
⛹	duine ag preabadh liathróid
⛹🏻	duine ag preabadh liathróid: ton craicinn éadrom
⛹🏼	duine ag preabadh liathróid: ton craiceann meánach
⛹🏽	duine ag preabadh liathróid: ton craiceann meánach
⛹🏾	duine ag preabadh liathróid: ton craiceann meán-dorcha
⛹🏿	duine ag preabadh liathróid: ton dorcha craicinn
⛹️‍♂️	fear ag preabadh liathróid
⛹‍♂️	fear ag preabadh liathróid
⛹️‍♂	fear ag preabadh liathróid
⛹‍♂	fear ag preabadh liathróid
⛹🏻‍♂️	fear preabadh liathróid: ton craicinn éadrom
