😀	išsišiepęs veidas
🙅🏼	asmuo, gestikuliuojantis NE: vidutinio šviesumo odos atspalvis
🙅🏽	asmuo, gestikuliuojantis NE: vidutinis odos atspalvis
🙅🏾	asmuo gestikuliuoja NE: vidutiniškai tamsus odos atspalvis
🙅🏿	asmuo, gestikuliuojantis NE: tamsus odos atspalvis
🙅‍♂️	vyras gestikuliuoja NE
🙅‍♂	vyras gestikuliuoja NE
🙅🏻‍♂️	vyras gestikuliuoja NE: šviesus odos atspalvis
🙅🏻‍♂	vyras gestikuliuoja NE: šviesus odos atspalvis
🙅🏼‍♂️	vyras gestikuliuoja NE: vidutinio šviesumo odos atspalvis
🙅🏼‍♂	vyras gestikuliuoja NE: vidutinio šviesumo odos atspalvis
🙅🏽‍♂️	vyras gestikuliuoja NE: vidutinis odos atspalvis
🙅🏽‍♂	vyras gestikuliuoja NE: vidutinis odos atspalvis
🙅🏾‍♂️	vyras gestikuliuoja NE: vidutiniškai tamsus odos atspalvis
🙅🏾‍♂	vyras gestikuliuoja NE: vidutiniškai tamsus odos atspalvis
🙅🏿‍♂️	vyras gestikuliuoja NE: tamsus odos atspalvis
🙅🏿‍♂	vyras gestikuliuoja NE: tamsus odos atspalvis
🙅‍♀️	moteris gestikuliuoja NE
🙅‍♀	moteris gestikuliuoja NE
🙅🏻‍♀️	moteris gestikuliuoja NE: šviesus odos atspalvis
🙅🏻‍♀	moteris gestikuliuoja NE: šviesus odos atspalvis
🙅🏼‍♀️	moteris gestikuliuoja NE: vidutinio šviesumo odos atspalvis
🙅🏼‍♀	moteris gestikuliuoja NE: vidutinio šviesumo odos atspalvis
🙅🏽‍♀️	moteris gestikuliuoja NE: vidutinis odos atspalvis
🙅🏽‍♀	moteris gestikuliuoja NE: vidutinis odos atspalvis
🙅🏾‍♀️	moteris gestikuliuoja NE: vidutiniškai tamsus odos atspalvis
🙅🏾‍♀	moteris gestikuliuoja NE: vidutiniškai tamsus odos atspalvis
🙅🏿‍♀️	moteris gestikuliuoja NE: tamsus odos atspalvis
🙅🏿‍♀	moteris gestikuliuoja NE: tamsus odos atspalvis
🙆	žmogus gestikuliuoja gerai
🙆🏻	asmuo gestikuliuoja gerai: šviesus odos atspalvis
🙆🏼	asmuo gestikuliuoja gerai: vidutiniškai šviesus odos atspalvis
🙆🏽	asmuo gestikuliuoja gerai: vidutinis odos atspalvis
🙆🏾	asmuo gestikuliuoja gerai: vidutiniškai tamsus odos atspalvis
🙆🏿	asmuo gestikuliuoja gerai: tamsus odos atspalvis
🙆‍♂️	vyras gestikuliuoja gerai
🙆‍♂	vyras gestikuliuoja gerai
🙆🏻‍♂️	vyras gestikuliuoja gerai: šviesus odos atspalvis
🙆🏻‍♂	vyras gestikuliuoja gerai: šviesus odos atspalvis
🙆🏼‍♂️	vyras gestikuliuoja gerai: vidutinio šviesumo odos atspalvis
🙆🏼‍♂	vyras gestikuliuoja gerai: vidutinio šviesumo odos atspalvis
🙆🏽‍♂️	vyras gestikuliuoja gerai: vidutinis odos atspalvis
🙆🏽‍♂	vyras gestikuliuoja gerai: vidutinis odos atspalvis
🙆🏾‍♂️	vyras gestikuliuoja gerai: vidutiniškai tamsus odos atspalvis
🙆🏾‍♂	vyras gestikuliuoja gerai: vidutiniškai tamsus odos atspalvis
🙆🏿‍♂️	vyras gestikuliuoja gerai: tamsus odos atspalvis
🙆🏿‍♂	vyras gestikuliuoja gerai: tamsus odos atspalvis
🙆‍♀️	moteris gestikuliuoja gerai
🙆‍♀	moteris gestikuliuoja gerai
🙆🏻‍♀️	moteris gestikuliuoja gerai: šviesus odos atspalvis
🙆🏻‍♀	moteris gestikuliuoja gerai: šviesus odos atspalvis
🙆🏼‍♀️	moteris gestikuliuoja gerai: vidutinio šviesumo odos atspalvis
🙆🏼‍♀	moteris gestikuliuoja gerai: vidutinio šviesumo odos atspalvis
🙆🏽‍♀️	moteris gestikuliuoja gerai: vidutinis odos atspalvis
🙆🏽‍♀	moteris gestikuliuoja gerai: vidutinis odos atspalvis
🙆🏾‍♀️	moteris gestikuliuoja gerai: vidutiniškai tamsus odos atspalvis
🙆🏾‍♀	moteris gestikuliuoja gerai: vidutiniškai tamsus odos atspalvis
🙆🏿‍♀️	moteris gestikuliuoja gerai: tamsus odos atspalvis
🙆🏿‍♀	moteris gestikuliuoja gerai: tamsus odos atspalvis
💁	ranką palenkęs žmogus
💁🏻	asmuo, pakreipęs ranką: šviesus odos atspalvis
💁🏼	asmuo, pakreipęs ranką: vidutinio šviesumo odos atspalvis
💁🏽	ranką palenkęs žmogus: vidutinio atspalvio oda
💁🏾	asmuo, palenkęs ranką: vidutiniškai tamsus odos atspalvis
💁🏿	asmuo, pakreipęs ranką: tamsus odos atspalvis
💁‍♂️	vyras palenkia ranką
💁‍♂	vyras palenkia ranką
💁🏻‍♂️	vyras palenkia ranką: šviesus odos atspalvis
💁🏻‍♂	vyras palenkia ranką: šviesus odos atspalvis
💁🏼‍♂️	vyras palenkia ranką: vidutinio šviesumo odos atspalvis
💁🏼‍♂	vyras palenkia ranką: vidutinio šviesumo odos atspalvis
💁🏽‍♂️	vyras palenkia ranką: vidutinis odos atspalvis
💁🏽‍♂	vyras palenkia ranką: vidutinis odos atspalvis
💁🏾‍♂️	vyras palenkia ranką: vidutiniškai tamsus odos atspalvis
💁🏾‍♂	vyras palenkia ranką: vidutiniškai tamsus odos atspalvis
💁🏿‍♂️	vyras palenkia ranką: tamsus odos atspalvis
💁🏿‍♂	vyras palenkia ranką: tamsus odos atspalvis
💁‍♀️	moteris palenkia ranką
💁‍♀	moteris palenkia ranką
💁🏻‍♀️	moteris palenkia ranką: šviesus odos atspalvis
💁🏻‍♀	moteris palenkia ranką: šviesus odos atspalvis
💁🏼‍♀️	moteris palenkia ranką: vidutinio šviesumo odos atspalvis
💁🏼‍♀	moteris palenkia ranką: vidutinio šviesumo odos atspalvis
💁🏽‍♀️	moteris palenkia ranką: vidutinio odos atspalvio
💁🏽‍♀	moteris palenkia ranką: vidutinio odos atspalvio
💁🏾‍♀️	moteris palenkia ranką: vidutiniškai tamsus odos atspalvis
💁🏾‍♀	moteris palenkia ranką: vidutiniškai tamsus odos atspalvis
💁🏿‍♀️	moteris palenkia ranką: tamsus odos atspalvis
💁🏿‍♀	moteris palenkia ranką: tamsus odos atspalvis
🙋	žmogus pakelia ranką
🙋🏻	žmogus pakelia ranką: šviesus odos atspalvis
🙋🏼	žmogus pakelia ranką: vidutinio šviesumo odos atspalvis
🙋🏽	žmogus pakelia ranką: vidutinio odos atspalvio
🙋🏾	žmogus pakelia ranką: vidutiniškai tamsus odos atspalvis
🙋🏿	žmogus pakelia ranką: tamsus odos atspalvis
🙋‍♂️	vyras pakelia ranką
🙋‍♂	vyras pakelia ranką
🙋🏻‍♂️	vyras pakelia ranką: šviesus odos atspalvis
🙋🏻‍♂	vyras pakelia ranką: šviesus odos atspalvis
🙋🏼‍♂️	vyras pakelia ranką: vidutinio šviesumo odos atspalvis
🙋🏼‍♂	vyras pakelia ranką: vidutinio šviesumo odos atspalvis
🙋🏽‍♂️	vyras pakelia ranką: vidutinis odos atspalvis
🙋🏽‍♂	vyras pakelia ranką: vidutinio odos atspalvio
🙋🏾‍♂️	vyras pakelia ranką: vidutiniškai tamsus odos atspalvis
🙋🏾‍♂	vyras pakelia ranką: vidutiniškai tamsus odos atspalvis
🙋🏿‍♂️	vyras pakelia ranką: tamsus odos atspalvis
🙋🏿‍♂	vyras pakelia ranką: tamsus odos atspalvis
🙋‍♀️	moteris pakelia ranką
🙋‍♀	moteris pakelia ranką
🙋🏻‍♀️	moteris pakelia ranką: šviesios odos
🙋🏻‍♀	moteris pakelia ranką: šviesios odos
🙋🏼‍♀️	moteris pakelia ranką: vidutinio šviesumo odos atspalvis
🙋🏼‍♀	moteris pakelia ranką: vidutinio šviesumo odos atspalvis
🙋🏽‍♀️	moteris pakelia ranką: vidutinio odos atspalvio
🙋🏽‍♀	moteris pakelia ranką: vidutinio odos atspalvio
🙋🏾‍♀️	moteris pakelia ranką: vidutiniškai tamsus odos atspalvis
🙋🏾‍♀	moteris pakelia ranką: vidutiniškai tamsus odos atspalvis
🙋🏿‍♀️	moteris pakelia ranką: tamsus odos atspalvis
🙋🏿‍♀	moteris pakelia ranką: tamsus odos atspalvis
🙇	žmogus nusilenkia
🙇🏻	asmuo nusilenkia: šviesus odos atspalvis
🙇🏼	besilenkiantis asmuo: vidutinio šviesumo odos atspalvis
🙇🏽	asmuo nusilenkia: vidutinio odos atspalvio
🙇🏾	asmuo nusilenkia: vidutiniškai tamsus odos atspalvis
🙇🏿	asmuo nusilenkia: tamsus odos atspalvis
🙇‍♂️	vyras nusilenkia
🙇‍♂	vyras nusilenkia
🙇🏻‍♂️	vyras nusilenkia: šviesus odos atspalvis
🙇🏻‍♂	vyras nusilenkia: šviesus odos atspalvis
🙇🏼‍♂️	vyras nusilenkia: vidutinio šviesumo odos atspalvis
🙇🏼‍♂	vyras nusilenkia: vidutinio šviesumo odos atspalvis
🙇🏽‍♂️	vyras nusilenkia: vidutinio odos atspalvio
🙇🏽‍♂	vyras nusilenkia: vidutinio odos atspalvio
🙇🏾‍♂️	vyras nusilenkia: vidutiniškai tamsus odos atspalvis
🙇🏾‍♂	vyras nusilenkia: vidutiniškai tamsus odos atspalvis
🙇🏿‍♂️	vyras nusilenkia: tamsus odos atspalvis
🙇🏿‍♂	vyras nusilenkia: tamsus odos atspalvis
🙇‍♀️	moteris nusilenkia
🙇‍♀	moteris nusilenkia
🙇🏻‍♀️	moteris nusilenkia: šviesus odos atspalvis
🙇🏻‍♀	moteris nusilenkia: šviesus odos atspalvis
🙇🏼‍♀️	moteris nusilenkia: vidutinio šviesumo odos atspalvis
🙇🏼‍♀	moteris nusilenkia: vidutinio šviesumo odos atspalvis
🙇🏽‍♀️	moteris nusilenkia: vidutinio odos atspalvio
🙇🏽‍♀	moteris nusilenkia: vidutinio odos atspalvio
🙇🏾‍♀️	moteris nusilenkia: vidutiniškai tamsus odos atspalvis
🙇🏾‍♀	moteris nusilenkia: vidutiniškai tamsus odos atspalvis
🙇🏿‍♀️	moteris nusilenkia: tamsus odos atspalvis
🙇🏿‍♀	moteris nusilenkia: tamsus odos atspalvis
🤦	asmens facepalming
🤦🏻	asmens veido delnavimas: šviesus odos atspalvis
🤦🏼	asmens veido palavimas: vidutinio šviesumo odos atspalvis
🤦🏽	asmens veido palavimas: vidutinis odos atspalvis
🤦🏾	asmens veido delnais: vidutiniškai tamsus odos atspalvis
🤦🏿	asmens veido delnais: tamsus odos atspalvis
🤦‍♂️	vyras facepalming
🤦‍♂	vyras facepalming
🤦🏻‍♂️	vyriškas veido palavimas: šviesus odos atspalvis
🤦🏻‍♂	vyriškas veido palavimas: šviesus odos atspalvis
🤦🏼‍♂️	vyriškas veido palavimas: vidutinio šviesumo odos atspalvis
🤦🏼‍♂	vyriškas veido palavimas: vidutinio šviesumo odos atspalvis
🤦🏽‍♂️	vyriškas veido palmavimas: vidutinis odos atspalvis
🤦🏽‍♂	vyriškas veido palmavimas: vidutinis odos atspalvis
🤦🏾‍♂️	vyriškas veido delnais: vidutiniškai tamsus odos atspalvis
🤦🏾‍♂	vyriškas veido delnais: vidutiniškai tamsus odos atspalvis
🤦🏿‍♂️	vyriškas veido delnais: tamsus odos atspalvis
🤦🏿‍♂	vyriškas veido delnais: tamsus odos atspalvis
🤦‍♀️	moteris facepalming
🤦‍♀	moteris facepalming
🤦🏻‍♀️	Moteris facepalming: šviesus odos atspalvis
🤦🏻‍♀	Moteris facepalming: šviesus odos atspalvis
🤦🏼‍♀️	moters veido delnais: vidutinio šviesumo odos atspalvis
🤦🏼‍♀	moters veido delnais: vidutinio šviesumo odos atspalvis
🤦🏽‍♀️	Moteris facepalming: vidutinis odos atspalvis
🤦🏽‍♀	Moteris facepalming: vidutinis odos atspalvis
🤦🏾‍♀️	Moteris veido delnais: vidutiniškai tamsus odos atspalvis
🤦🏾‍♀	Moteris veido delnais: vidutiniškai tamsus odos atspalvis
🤦🏿‍♀️	moters veido delnais: tamsus odos atspalvis
🤦🏿‍♀	moters veido delnais: tamsus odos atspalvis
🤷	žmogus gūžčioja pečiais
🤷🏻	asmuo gūžčioja pečiais: šviesus odos atspalvis
🤷🏼	asmuo gūžčioja pečiais: vidutinio šviesumo odos atspalvis
🤷🏽	žmogus gūžčioja pečiais: vidutinio odos atspalvio
🤷🏾	asmuo gūžčioja pečiais: vidutiniškai tamsus odos atspalvis
🤷🏿	žmogus gūžčioja pečiais: tamsus odos atspalvis
🤷‍♂️	vyras gūžteli pečiais
🤷‍♂	vyras gūžteli pečiais
🤷🏻‍♂️	vyras gūžčioja pečiais: šviesus odos atspalvis
🤷🏻‍♂	vyras gūžčioja pečiais: šviesus odos atspalvis
🤷🏼‍♂️	vyras gūžčioja pečiais: vidutinio šviesumo odos atspalvis
🤷🏼‍♂	vyras gūžčioja pečiais: vidutinio šviesumo odos atspalvis
🤷🏽‍♂️	vyras gūžčioja pečiais: vidutinis odos atspalvis
🤷🏽‍♂	vyras gūžčioja pečiais: vidutinis odos atspalvis
🤷🏾‍♂️	vyras gūžčioja pečiais: vidutiniškai tamsus odos atspalvis
🤷🏾‍♂	vyras gūžčioja pečiais: vidutiniškai tamsus odos atspalvis
🤷🏿‍♂️	vyras gūžčioja pečiais: tamsus odos atspalvis
🤷🏿‍♂	vyras gūžčioja pečiais: tamsus odos atspalvis
🤷‍♀️	moteris gūžčioja pečiais
🤷‍♀	moteris gūžčioja pečiais
🤷🏻‍♀️	moteris gūžčioja pečiais: šviesios odos
🤷🏻‍♀	moteris gūžčioja pečiais: šviesios odos
🤷🏼‍♀️	moteris gūžčioja pečiais: vidutinio šviesumo odos atspalvis
🤷🏼‍♀	moteris gūžčioja pečiais: vidutinio šviesumo odos atspalvis
🤷🏽‍♀️	moteris gūžčioja pečiais: vidutinio odos atspalvio
🤷🏽‍♀	moteris gūžčioja pečiais: vidutinio odos atspalvio
🤷🏾‍♀️	moteris gūžčioja pečiais: vidutiniškai tamsus odos atspalvis
🤷🏾‍♀	moteris gūžčioja pečiais: vidutiniškai tamsus odos atspalvis
🤷🏿‍♀️	moteris gūžčioja pečiais: tamsus odos atspalvis
🤷🏿‍♀	moteris gūžčioja pečiais: tamsus odos atspalvis
💆	Masažuojantis žmogus
💆🏻	masažuojamas asmuo: šviesus odos atspalvis
💆🏼	masažuojamas asmuo: vidutinio šviesumo odos atspalvis
💆🏽	masažuojamas asmuo: vidutinis odos atspalvis
💆🏾	masažuojamas asmuo: vidutinio tamsumo odos atspalvis
💆🏿	masažuojamas asmuo: tamsus odos tonas
💆‍♂️	vyras daro masažą
💆‍♂	vyras daro masažą
💆🏻‍♂️	masažuojamas vyras: šviesus odos atspalvis
💆🏻‍♂	masažuojamas vyras: šviesus odos atspalvis
💆🏼‍♂️	masažuojamas vyras: vidutinio šviesumo odos atspalvis
💆🏼‍♂	masažuojamas vyras: vidutinio šviesumo odos atspalvis
💆🏽‍♂️	masažuojamas vyras: vidutinis odos atspalvis
💆🏽‍♂	masažuojamas vyras: vidutinis odos atspalvis
💆🏾‍♂️	masažuojamas vyras: vidutinio tamsumo odos atspalvis
💆🏾‍♂	masažuojamas vyras: vidutinio tamsumo odos atspalvis
💆🏿‍♂️	masažuojamas vyras: tamsus odos atspalvis
💆🏿‍♂	masažuojamas vyras: tamsus odos atspalvis
💆‍♀️	moteris daro masažą
💆‍♀	moteris daro masažą
💆🏻‍♀️	Masažuojasi moteris: šviesios odos atspalvis
💆🏻‍♀	Masažuojasi moteris: šviesios odos atspalvis
💆🏼‍♀️	masažuojama moteris: vidutinio šviesumo odos atspalvis
💆🏼‍♀	masažuojama moteris: vidutinio šviesumo odos atspalvis
💆🏽‍♀️	masažuojama moteris: vidutinis odos atspalvis
💆🏽‍♀	masažuojama moteris: vidutinis odos atspalvis
💆🏾‍♀️	masažuojama moteris: vidutinio tamsumo odos atspalvis
💆🏾‍♀	masažuojama moteris: vidutinio tamsumo odos atspalvis
💆🏿‍♀️	Masažuojasi moteris: tamsus odos atspalvis
💆🏿‍♀	Masažuojasi moteris: tamsus odos atspalvis
💇	kirpimo žmogus
💇🏻	kirpantis žmogus: šviesus odos atspalvis
💇🏼	kirpimo žmogus: vidutinio šviesumo odos atspalvis
💇🏽	kirpantis žmogus: vidutinio atspalvio oda
💇🏾	kirpimo žmogus: vidutiniškai tamsus odos atspalvis
💇🏿	kirpantis žmogus: tamsus odos atspalvis
💇‍♂️	vyras kirposi plaukus
💇‍♂	vyras kirposi plaukus
💇🏻‍♂️	kirpantis vyras: šviesus odos atspalvis
💇🏻‍♂	kirpantis vyras: šviesus odos atspalvis
💇🏼‍♂️	kirpantis vyras: vidutinio šviesumo odos atspalvis
💇🏼‍♂	kirpantis vyras: vidutinio šviesumo odos atspalvis
💇🏽‍♂️	kirpantis vyras: vidutinio atspalvio oda
💇🏽‍♂	kirpantis vyras: vidutinio atspalvio oda
💇🏾‍♂️	kirpantis vyras: vidutiniškai tamsus odos atspalvis
💇🏾‍♂	kirpantis vyras: vidutiniškai tamsus odos atspalvis
💇🏿‍♂️	kirpantis vyras: tamsus odos atspalvis
💇🏿‍♂	kirpantis vyras: tamsus odos atspalvis
💇‍♀️	moteris kirposi
💇‍♀	moteris kirposi
💇🏻‍♀️	kirpimosi moteris: šviesus odos atspalvis
💇🏻‍♀	kirpimosi moteris: šviesus odos atspalvis
💇🏼‍♀️	kirpimosi moteris: vidutinio šviesumo odos atspalvis
💇🏼‍♀	kirpimosi moteris: vidutinio šviesumo odos atspalvis
💇🏽‍♀️	kirpimosi moteris: vidutinio atspalvio oda
💇🏽‍♀	kirpimosi moteris: vidutinio atspalvio oda
💇🏾‍♀️	kirpimosi moteris: vidutiniškai tamsus odos atspalvis
💇🏾‍♀	kirpimosi moteris: vidutiniškai tamsus odos atspalvis
💇🏿‍♀️	kirpimosi moteris: tamsus odos atspalvis
💇🏿‍♀	kirpimosi moteris: tamsus odos atspalvis
🚶	vaikštantis žmogus
🚶🏻	vaikštantis žmogus: šviesios odos atspalvis
🚶🏼	vaikštantis žmogus: vidutinio šviesumo odos atspalvis
🚶🏽	vaikštantis žmogus: vidutinio odos atspalvio
🚶🏾	vaikštantis žmogus: vidutiniškai tamsus odos atspalvis
🚶🏿	vaikštantis žmogus: tamsus odos atspalvis
🚶‍♂️	vaikštantis vyras
🚶‍♂	vaikštantis vyras
🚶🏻‍♂️	vaikštantis vyras: šviesios odos
🚶🏻‍♂	vaikštantis vyras: šviesios odos
🚶🏼‍♂️	vaikštantis vyras: vidutinio šviesumo odos atspalvis
🚶🏼‍♂	vaikštantis vyras: vidutinio šviesumo odos atspalvis
🚶🏽‍♂️	vaikštantis vyras: vidutinio atspalvio oda
🚶🏽‍♂	vaikštantis vyras: vidutinio atspalvio oda
🚶🏾‍♂️	vaikštantis vyras: vidutiniškai tamsus odos atspalvis
🚶🏾‍♂	vaikštantis vyras: vidutiniškai tamsus odos atspalvis
🚶🏿‍♂️	vaikštantis vyras: tamsus odos atspalvis
🚶🏿‍♂	vaikštantis vyras: tamsus odos atspalvis
🚶‍♀️	vaikštanti moteris
🚶‍♀	vaikštanti moteris
🚶🏻‍♀️	vaikštanti moteris: šviesios odos
🚶🏻‍♀	vaikštanti moteris: šviesios odos
🚶🏼‍♀️	vaikštanti moteris: vidutinio šviesumo odos atspalvis
🚶🏼‍♀	vaikštanti moteris: vidutinio šviesumo odos atspalvis
🚶🏽‍♀️	vaikštanti moteris: vidutinio atspalvio oda
🚶🏽‍♀	vaikštanti moteris: vidutinio atspalvio oda
🚶🏾‍♀️	vaikštanti moteris: vidutiniškai tamsus odos atspalvis
🚶🏾‍♀	vaikštanti moteris: vidutiniškai tamsus odos atspalvis
🚶🏿‍♀️	vaikštanti moteris: tamsus odos atspalvis
🚶🏿‍♀	vaikštanti moteris: tamsus odos atspalvis
🏃	bėgiojantis žmogus
🏃🏻	bėgiojantis žmogus: šviesios odos
🏃🏼	bėgiojantis žmogus: vidutinio šviesumo odos atspalvis
🏃🏽	bėgiojantis žmogus: vidutinis odos atspalvis
🏃🏾	bėgiojantis žmogus: vidutiniškai tamsus odos atspalvis
🏃🏿	bėgiojantis žmogus: tamsus odos atspalvis
🏃‍♂️	vyras bėga
🏃‍♂	vyras bėga
🏃🏻‍♂️	vyras bėgioja: šviesios odos
🏃🏻‍♂	vyras bėgioja: šviesios odos
🏃🏼‍♂️	vyras bėgioja: vidutinio šviesumo odos atspalvis
🏃🏼‍♂	vyras bėgioja: vidutinio šviesumo odos atspalvis
🏃🏽‍♂️	vyras bėgioja: vidutinio odos atspalvio
🏃🏽‍♂	vyras bėgioja: vidutinio odos atspalvio
🏃🏾‍♂️	vyras bėgioja: vidutiniškai tamsus odos atspalvis
🏃🏾‍♂	vyras bėgioja: vidutiniškai tamsus odos atspalvis
🏃🏿‍♂️	vyras bėgioja: tamsus odos atspalvis
🏃🏿‍♂	vyras bėgioja: tamsus odos atspalvis
🏃‍♀️	moteris bėgioja
🏃‍♀	moteris bėgioja
🏃🏻‍♀️	moteris bėgioja: šviesios odos
🏃🏻‍♀	moteris bėgioja: šviesios odos
🏃🏼‍♀️	moteris bėgioja: vidutinio šviesumo odos atspalvis
🏃🏼‍♀	moteris bėgioja: vidutinio šviesumo odos atspalvis
🏃🏽‍♀️	moteris bėgioja: vidutinio odos atspalvio
🏃🏽‍♀	moteris bėgioja: vidutinio odos atspalvio
🏃🏾‍♀️	moteris bėgioja: vidutiniškai tamsus odos atspalvis
🏃🏾‍♀	moteris bėgioja: vidutiniškai tamsus odos atspalvis
🏃🏿‍♀️	moteris bėgioja: tamsios odos
🏃🏿‍♀	moteris bėgioja: tamsios odos
💃	šokanti moteris
💃🏻	šokanti moteris: šviesus odos atspalvis
💃🏼	šokanti moteris: vidutinio šviesumo odos atspalvis
💃🏽	šokanti moteris: vidutinis odos atspalvis
💃🏾	šokanti moteris: vidutiniškai tamsus odos atspalvis
💃🏿	šokanti moteris: tamsus odos atspalvis
🕺	vyras šoka
🕺🏻	vyras šoka: šviesus odos atspalvis
🕺🏼	vyras šoka: vidutinio šviesumo odos atspalvis
🕺🏽	vyras šoka: vidutinis odos atspalvis
🕺🏾	vyras šoka: vidutiniškai tamsus odos atspalvis
🕺🏿	vyras šoka: tamsus odos atspalvis
👯	žmonės su zuikio ausimis
👯‍♂️	vyrų su zuikio ausimis
👯‍♂	vyrų su zuikio ausimis
👯‍♀️	moterų su zuikio ausimis
👯‍♀	moterų su zuikio ausimis
🧖	žmogus garinėje patalpoje
🧖🏻	žmogus garinėje patalpoje: šviesus odos atspalvis
🧖🏼	žmogus garinėje patalpoje: vidutinio šviesumo odos atspalvis
🧖🏽	žmogus garinėje patalpoje: vidutinis odos atspalvis
🧖🏾	žmogus garinėje patalpoje: vidutiniškai tamsus odos atspalvis
🧖🏿	žmogus garinėje patalpoje: tamsus odos atspalvis
🧖‍♀️	moteris garų kambaryje
🧖‍♀	moteris garų kambaryje
🧖🏻‍♀️	moteris garinėje patalpoje: šviesus odos atspalvis
🧖🏻‍♀	moteris garinėje patalpoje: šviesus odos atspalvis
🧖🏼‍♀️	moteris garinėje patalpoje: vidutinio šviesumo odos atspalvis
🧖🏼‍♀	moteris garinėje patalpoje: vidutinio šviesumo odos atspalvis
🧖🏽‍♀️	moteris garinėje patalpoje: vidutinis odos atspalvis
🧖🏽‍♀	moteris garinėje patalpoje: vidutinis odos atspalvis
🧖🏾‍♀️	moteris garinėje patalpoje: vidutiniškai tamsus odos atspalvis
🧖🏾‍♀	moteris garinėje patalpoje: vidutiniškai tamsus odos atspalvis
🧖🏿‍♀️	moteris garinėje patalpoje: tamsus odos atspalvis
🧖🏿‍♀	moteris garinėje patalpoje: tamsus odos atspalvis
🧖‍♂️	vyras garų kambaryje
🧖‍♂	vyras garų kambaryje
🧖🏻‍♂️	vyras garinėje patalpoje: šviesus odos atspalvis
🧖🏻‍♂	vyras garinėje patalpoje: šviesus odos atspalvis
🧖🏼‍♂️	vyras garinėje patalpoje: vidutinio šviesumo odos atspalvis
🧖🏼‍♂	vyras garinėje patalpoje: vidutinio šviesumo odos atspalvis
🧖🏽‍♂️	vyras garinėje patalpoje: vidutinis odos atspalvis
🧖🏽‍♂	vyras garinėje patalpoje: vidutinis odos atspalvis
🧖🏾‍♂️	vyras garinėje patalpoje: vidutiniškai tamsus odos atspalvis
🧖🏾‍♂	vyras garinėje patalpoje: vidutiniškai tamsus odos atspalvis
🧖🏿‍♂️	vyras garinėje patalpoje: tamsus odos atspalvis
🧖🏿‍♂	vyras garinėje patalpoje: tamsus odos atspalvis
🧗	lipantis žmogus
🧗🏻	lipantis žmogus: šviesios odos atspalvis
🧗🏼	lipantis žmogus: vidutinio šviesumo odos atspalvis
🧗🏽	laipiojantis žmogus: vidutinis odos atspalvis
🧗🏾	lipantis žmogus: vidutiniškai tamsus odos atspalvis
🧗🏿	lipantis žmogus: tamsus odos atspalvis
🧗‍♀️	moteris laipioja
🧗‍♀	moteris laipioja
🧗🏻‍♀️	moteris laipioja: šviesios odos
🧗🏻‍♀	moteris laipioja: šviesios odos
🧗🏼‍♀️	laipiojanti moteris: vidutinio šviesumo odos atspalvis
🧗🏼‍♀	laipiojanti moteris: vidutinio šviesumo odos atspalvis
🧗🏽‍♀️	moteris laipiojanti: vidutinio odos atspalvio
🧗🏽‍♀	moteris laipiojanti: vidutinio odos atspalvio
🧗🏾‍♀️	laipiojanti moteris: vidutiniškai tamsus odos atspalvis
🧗🏾‍♀	laipiojanti moteris: vidutiniškai tamsus odos atspalvis
🧗🏿‍♀️	laipiojanti moteris: tamsus odos atspalvis
🧗🏿‍♀	laipiojanti moteris: tamsus odos atspalvis
🧗‍♂️	lipantis žmogus
🧗‍♂	lipantis žmogus
🧗🏻‍♂️	laipiojantis vyras: šviesios odos atspalvis
🧗🏻‍♂	laipiojantis vyras: šviesios odos atspalvis
🧗🏼‍♂️	laipiojantis vyras: vidutinio šviesumo odos atspalvis
🧗🏼‍♂	laipiojantis vyras: vidutinio šviesumo odos atspalvis
🧗🏽‍♂️	laipiojantis vyras: vidutinis odos atspalvis
🧗🏽‍♂	laipiojantis vyras: vidutinis odos atspalvis
🧗🏾‍♂️	laipiojantis vyras: vidutiniškai tamsus odos atspalvis
🧗🏾‍♂	laipiojantis vyras: vidutiniškai tamsus odos atspalvis
🧗🏿‍♂️	laipiojantis vyras: tamsus odos atspalvis
🧗🏿‍♂	laipiojantis vyras: tamsus odos atspalvis
🧘	asmuo lotoso pozicijoje
🧘🏻	asmuo lotoso pozicijoje: šviesios odos atspalvis
🧘🏼	asmuo lotoso pozicijoje: vidutinio šviesumo odos atspalvis
🧘🏽	asmuo lotoso pozicijoje: vidutinio odos atspalvio
🧘🏾	asmuo lotoso pozicijoje: vidutiniškai tamsus odos atspalvis
🧘🏿	asmuo lotoso pozicijoje: tamsus odos atspalvis
🧘‍♀️	moteris lotoso pozoje
🧘‍♀	moteris lotoso pozoje
🧘🏻‍♀️	moteris lotoso pozoje: šviesios odos
🧘🏻‍♀	moteris lotoso pozoje: šviesios odos
🧘🏼‍♀️	moteris lotoso pozoje: vidutinio šviesumo odos atspalvis
🧘🏼‍♀	moteris lotoso pozoje: vidutinio šviesumo odos atspalvis
🧘🏽‍♀️	moteris lotoso pozicijoje: vidutinio odos atspalvio
🧘🏽‍♀	moteris lotoso pozicijoje: vidutinio odos atspalvio
🧘🏾‍♀️	moteris lotoso pozoje: vidutiniškai tamsus odos atspalvis
🧘🏾‍♀	moteris lotoso pozoje: vidutiniškai tamsus odos atspalvis
🧘🏿‍♀️	moteris lotoso pozoje: tamsus odos atspalvis
