😀	hmel nuihzatthlak tak
🙅🏿	mi pakhatin NO: vun dum a ti a
🙅‍♂️	mipa chuan NO a ti a
🙅‍♂	mipa chuan NO a ti a
🙅🏻‍♂️	mipa chuan NO: vun rawng light tak a ti a
🙅🏻‍♂	mipa chuan NO: vun rawng light tak a ti a
🙅🏼‍♂️	mipa chuan NO: vun rawng (medium-light skin tone) a ti a
🙅🏼‍♂	mipa chuan NO: vun rawng (medium-light skin tone) a ti a
🙅🏽‍♂️	mipa chuan NO: vun rawng (medium skin tone) a ti a
🙅🏽‍♂	mipa chuan NO: vun rawng (medium skin tone) a ti a
🙅🏾‍♂️	mipa chuan NO: vun rawng dum (medium-dark skin tone) a ti a
🙅🏾‍♂	mipa chuan NO: vun rawng dum (medium-dark skin tone) a ti a
🙅🏿‍♂️	mipa chuan NO: vun dum a ti a
🙅🏿‍♂	mipa chuan NO: vun dum a ti a
🙅‍♀️	hmeichhia chuan NO a ti a
🙅‍♀	hmeichhia chuan NO a ti a
🙅🏻‍♀️	hmeichhia chuan NO: vun rawng light tak a ti a
🙅🏻‍♀	hmeichhia chuan NO: vun rawng light tak a ti a
🙅🏼‍♀️	hmeichhia chuan NO: vun rawng (medium-light skin tone) a ti a
🙅🏼‍♀	hmeichhia chuan NO: vun rawng (medium-light skin tone) a ti a
🙅🏽‍♀️	hmeichhia chuan NO: vun rawng (medium skin tone) a ti a
🙅🏽‍♀	hmeichhia chuan NO: vun rawng (medium skin tone) a ti a
🙅🏾‍♀️	hmeichhia chuan NO: vun rawng (medium-dark skin tone) a ti a
🙅🏾‍♀	hmeichhia chuan NO: vun rawng (medium-dark skin tone) a ti a
🙅🏿‍♀️	hmeichhia chuan NO: vun dum a ti a
🙅🏿‍♀	hmeichhia chuan NO: vun dum a ti a
🙆	mi pakhatin OK a ti a
🙆🏻	mi pakhatin OK: vun rawng a ti eng
🙆🏼	mi pakhatin OK: vun rawng (medium-light skin tone) a tih
🙆🏽	mi pakhatin OK: vun rawng (medium skin tone) a tih
🙆🏾	mi pakhatin OK: vun rawng dum (medium-dark skin tone) a tih
🙆🏿	mi pakhatin OK a ti a: vun rawng dum
🙆‍♂️	mipa chuan OK a ti a
🙆‍♂	mipa chuan OK a ti a
🙆🏻‍♂️	mipain OK a ti a: vun rawng a eng
🙆🏻‍♂	mipain OK a ti a: vun rawng a eng
🙆🏼‍♂️	mipain OK a ti a: vun rawng chu a hring (medium-light skin tone) a ni
🙆🏼‍♂	mipain OK a ti a: vun rawng chu a hring (medium-light skin tone) a ni
🙆🏽‍♂️	mipa chuan OK: vun rawng (medium skin tone) a ti a
🙆🏽‍♂	mipa chuan OK: vun rawng (medium skin tone) a ti a
🙆🏾‍♂️	mipain OK: vun rawng dum (medium-dark skin tone) a tih
🙆🏾‍♂	mipain OK: vun rawng dum (medium-dark skin tone) a tih
🙆🏿‍♂️	mipain OK a ti a: vun rawng dum
🙆🏿‍♂	mipain OK a ti a: vun rawng dum
🙆‍♀️	hmeichhia chuan OK a ti a
🙆‍♀	hmeichhia chuan OK a ti a
🙆🏻‍♀️	hmeichhe pakhatin OK: vun rawng a ti eng
🙆🏻‍♀	hmeichhe pakhatin OK: vun rawng a ti eng
🙆🏼‍♀️	hmeichhe pakhatin OK: vun rawng (medium-light skin tone) a tih
🙆🏼‍♀	hmeichhe pakhatin OK: vun rawng (medium-light skin tone) a tih
🙆🏽‍♀️	hmeichhe pakhatin OK: vun rawng (medium skin tone) a tih
🙆🏽‍♀	hmeichhe pakhatin OK: vun rawng (medium skin tone) a tih
🙆🏾‍♀️	hmeichhiain OK: vun rawng dum (medium-dark skin tone) a tih
🙆🏾‍♀	hmeichhiain OK: vun rawng dum (medium-dark skin tone) a tih
🙆🏿‍♀️	hmeichhe pakhatin OK: vun dum a ti a
🙆🏿‍♀	hmeichhe pakhatin OK: vun dum a ti a
💁	mi kut tipping
💁🏻	mi kut tipping: vun rawng hring
💁🏼	mi kut tipping: vun rawng (medium-light skin tone) a ni
💁🏽	mi kut tipping: vun rawng (medium skin tone) a ni
💁🏾	mi kut tipping: vun rawng (medium-dark skin tone) a ni
💁🏿	mi kut tipping: vun rawng dum
💁‍♂️	mipa kut tipping
💁‍♂	mipa kut tipping
💁🏻‍♂️	mipa kut tipping: vun rawng hring
💁🏻‍♂	mipa kut tipping: vun rawng hring
💁🏼‍♂️	mipa kut tipping: vun rawng (medium-light skin tone) a ni
💁🏼‍♂	mipa kut tipping: vun rawng (medium-light skin tone) a ni
💁🏽‍♂️	mipa kut tipping: vun rawng (medium skin tone) a ni
💁🏽‍♂	mipa kut tipping: vun rawng (medium skin tone) a ni
💁🏾‍♂️	mipa kut tipping: vun rawng (medium-dark skin tone) a ni
💁🏾‍♂	mipa kut tipping: vun rawng (medium-dark skin tone) a ni
💁🏿‍♂️	mipa kut tipping: vun rawng dum
💁🏿‍♂	mipa kut tipping: vun rawng dum
💁‍♀️	hmeichhia kut tipping
💁‍♀	hmeichhia kut tipping
💁🏻‍♀️	hmeichhia kut tipping: vun rawng hring
💁🏻‍♀	hmeichhia kut tipping: vun rawng hring
💁🏼‍♀️	hmeichhia kut tipping: vun rawng (medium-light skin tone).
💁🏼‍♀	hmeichhia kut tipping: vun rawng (medium-light skin tone).
💁🏽‍♀️	hmeichhia kut tipping: vun rawng (medium skin tone).
💁🏽‍♀	hmeichhia kut tipping: vun rawng (medium skin tone).
💁🏾‍♀️	hmeichhia kut tipping: vun rawng (medium-dark skin tone).
💁🏾‍♀	hmeichhia kut tipping: vun rawng (medium-dark skin tone).
💁🏿‍♀️	hmeichhia kut tipping: vun dum
💁🏿‍♀	hmeichhia kut tipping: vun dum
🙋	mi kut phar
🙋🏻	mi kut phar: vun rawng hring
🙋🏼	mi kut chawi: vun rawng (medium-light skin tone).
🙋🏽	mi kut chawi sang: vun rawng (medium skin tone).
🙋🏾	mi kut chawi sang: vun rawng (medium-dark skin tone).
🙋🏿	mi kut phar: vun rawng dum
🙋‍♂️	mipa kut phar
🙋‍♂	mipa kut phar
🙋🏻‍♂️	mipa kut phar: vun rawng hring
🙋🏻‍♂	mipa kut phar: vun rawng hring
🙋🏼‍♂️	mipa kut phar: vun rawng (medium-light skin tone).
🙋🏼‍♂	mipa kut phar: vun rawng (medium-light skin tone).
🙋🏽‍♂️	mipa kut phar: vun rawng (medium skin tone).
🙋🏽‍♂	mipa kut phar: vun rawng (medium skin tone).
🙋🏾‍♂️	mipa kut phar: vun rawng (medium-dark skin tone).
🙋🏾‍♂	mipa kut phar: vun rawng (medium-dark skin tone).
🙋🏿‍♂️	mipa kut phar: vun rawng dum
🙋🏿‍♂	mipa kut phar: vun rawng dum
🙋‍♀️	hmeichhia kut phar
🙋‍♀	hmeichhia kut phar
🙋🏻‍♀️	hmeichhia kut phar: vun rawng hring
🙋🏻‍♀	hmeichhia kut phar: vun rawng hring
🙋🏼‍♀️	hmeichhia kut phar: vun rawng (medium-light skin tone).
🙋🏼‍♀	hmeichhia kut phar: vun rawng (medium-light skin tone).
🙋🏽‍♀️	hmeichhia kut phar: vun rawng (medium skin tone).
🙋🏽‍♀	hmeichhia kut phar: vun rawng (medium skin tone).
🙋🏾‍♀️	hmeichhia kut phar: vun rawng (medium-dark skin tone).
🙋🏾‍♀	hmeichhia kut phar: vun rawng (medium-dark skin tone).
🙋🏿‍♀️	hmeichhia kut phar: vun dum
🙋🏿‍♀	hmeichhia kut phar: vun dum
🙇	mi chibai buk
🙇🏻	mi bowing: vun rawng hring
🙇🏼	mi bowing: vun rawng (medium-light skin tone) a ni
🙇🏽	mi bowing: vun rawng (medium skin tone) a ni
🙇🏾	mi bowing: vun rawng (medium-dark skin tone) a ni
🙇🏿	mi bowing: vun rawng dum
🙇‍♂️	mipa bawkkhup
🙇‍♂	mipa bawkkhup
🙇🏻‍♂️	mipa bowing: vun rawng hring
🙇🏻‍♂	mipa bowing: vun rawng hring
🙇🏼‍♂️	mipa bowing: vun rawng (medium-light skin tone) a ni
🙇🏼‍♂	mipa bowing: vun rawng (medium-light skin tone) a ni
🙇🏽‍♂️	mipa bowing: vun rawng (medium skin tone) a ni
🙇🏽‍♂	mipa bowing: vun rawng (medium skin tone) a ni
🙇🏾‍♂️	mipa bowing: vun rawng dum (medium-dark skin tone) a ni
🙇🏾‍♂	mipa bowing: vun rawng dum (medium-dark skin tone) a ni
🙇🏿‍♂️	mipa bowing: vun rawng dum
🙇🏿‍♂	mipa bowing: vun rawng dum
🙇‍♀️	hmeichhia a bawkkhup
🙇‍♀	hmeichhia a bawkkhup
🙇🏻‍♀️	hmeichhe bowing: vun rawng hring
🙇🏻‍♀	hmeichhe bowing: vun rawng hring
🙇🏼‍♀️	hmeichhe bowing: vun rawng (medium-light skin tone) a ni
🙇🏼‍♀	hmeichhe bowing: vun rawng (medium-light skin tone) a ni
🙇🏽‍♀️	hmeichhia bowing: vun rawng (medium skin tone) a ni
🙇🏽‍♀	hmeichhia bowing: vun rawng (medium skin tone) a ni
🙇🏾‍♀️	hmeichhe bowing: vun rawng (medium-dark skin tone) a ni
🙇🏾‍♀	hmeichhe bowing: vun rawng (medium-dark skin tone) a ni
🙇🏿‍♀️	hmeichhe bowing: vun rawng dum
🙇🏿‍♀	hmeichhe bowing: vun rawng dum
🤦	mi pakhat facepalming
🤦🏻	mi facepalming: vun rawng hring
🤦🏼	mi facepalming: vun rawng hring (medium-light skin tone) a ni
🤦🏽	mi facepalming: vun rawng (medium skin tone) a ni
🤦🏾	mi facepalming: vun rawng dum (medium-dark skin tone) a ni
🤦🏿	mi facepalming: vun dum hring
🤦‍♂️	mipa hmai a palm
🤦‍♂	mipa hmai a palm
🤦🏻‍♂️	mipa facepalming: vun rawng hring
🤦🏻‍♂	mipa facepalming: vun rawng hring
🤦🏼‍♂️	mipa facepalming: vun rawng hring (medium-light skin tone) a ni
🤦🏼‍♂	mipa facepalming: vun rawng hring (medium-light skin tone) a ni
🤦🏽‍♂️	mipa facepalming: vun rawng (medium skin tone) a ni
🤦🏽‍♂	mipa facepalming: vun rawng (medium skin tone) a ni
🤦🏾‍♂️	mipa facepalming: vun rawng dum (medium-dark skin tone) a ni
🤦🏾‍♂	mipa facepalming: vun rawng dum (medium-dark skin tone) a ni
🤦🏿‍♂️	mipa facepalming: vun dum hring
🤦🏿‍♂	mipa facepalming: vun dum hring
🤦‍♀️	hmeichhia facepalming
🤦‍♀	hmeichhia facepalming
🤦🏻‍♀️	hmeichhia facepalming: vun rawng hring
🤦🏻‍♀	hmeichhia facepalming: vun rawng hring
🤦🏼‍♀️	hmeichhe facepalming: vun rawng (medium-light skin tone) a ni
🤦🏼‍♀	hmeichhe facepalming: vun rawng (medium-light skin tone) a ni
🤦🏽‍♀️	hmeichhia facepalming: vun rawng (medium skin tone) a ni
🤦🏽‍♀	hmeichhia facepalming: vun rawng (medium skin tone) a ni
🤦🏾‍♀️	hmeichhia facepalming: vun rawng dum (medium-dark skin tone) a ni
🤦🏾‍♀	hmeichhia facepalming: vun rawng dum (medium-dark skin tone) a ni
🤦🏿‍♀️	hmeichhia facepalming: vun dum hring
🤦🏿‍♀	hmeichhia facepalming: vun dum hring
🤷	mi pakhatin a lu a thing nghal ringawt
🤷🏻	mi a shrugging: vun rawng a eng
🤷🏼	mi lu bengchheng: vun rawng (medium-light skin tone).
🤷🏽	mi a lu a thing: vun rawng (medium skin tone).
🤷🏾	mi lu bengchheng: vun rawng (medium-dark skin tone).
🤷🏿	person shrugging: vun rawng dum
🤷‍♂️	mipa chuan a lu a thing nghal ringawt
🤷‍♂	mipa chuan a lu a thing nghal ringawt
🤷🏻‍♂️	man shrugging: vun rawng a eng
🤷🏻‍♂	man shrugging: vun rawng a eng
🤷🏼‍♂️	mipa lu a thing: vun rawng (medium-light skin tone).
🤷🏼‍♂	mipa lu a thing: vun rawng (medium-light skin tone).
🤷🏽‍♂️	mipa lu a thing: vun rawng (medium skin tone).
🤷🏽‍♂	mipa lu a thing: vun rawng (medium skin tone).
🤷🏾‍♂️	mipa lu hrual: vun rawng (medium-dark skin tone).
🤷🏾‍♂	mipa lu hrual: vun rawng (medium-dark skin tone).
🤷🏿‍♂️	man shrugging: vun rawng dum
🤷🏿‍♂	man shrugging: vun rawng dum
🤷‍♀️	hmeichhia chuan a lu a thing nghal ringawt
🤷‍♀	hmeichhia chuan a lu a thing nghal ringawt
🤷🏻‍♀️	hmeichhia a lu a thing: vun rawng a eng
🤷🏻‍♀	hmeichhia a lu a thing: vun rawng a eng
🤷🏼‍♀️	hmeichhia a lu a thing: vun rawng (medium-light skin tone).
🤷🏼‍♀	hmeichhia a lu a thing: vun rawng (medium-light skin tone).
🤷🏽‍♀️	hmeichhia a lu a thing: vun rawng (medium skin tone).
🤷🏽‍♀	hmeichhia a lu a thing: vun rawng (medium skin tone).
🤷🏾‍♀️	hmeichhia a lu a thing: vun rawng (medium-dark skin tone).
🤷🏾‍♀	hmeichhia a lu a thing: vun rawng (medium-dark skin tone).
🤷🏿‍♀️	hmeichhia a lu a thing: vun dum
🤷🏿‍♀	hmeichhia a lu a thing: vun dum
💆	mi pakhatin massage a dawng
💆🏻	mi massage dawng: vun rawng hring
💆🏼	mi massage dawng: vun rawng (medium-light skin tone).
💆🏽	mi massage dawng: vun rawng (medium skin tone).
💆🏾	mi massage dawng: vun rawng (medium-dark skin tone) a ni
💆🏿	mi massage dawng: vun rawng dum
💆‍♂️	mipa massage dawng
💆‍♂	mipa massage dawng
💆🏻‍♂️	mipa massage dawng: vun rawng hring
💆🏻‍♂	mipa massage dawng: vun rawng hring
💆🏼‍♂️	mipa massage dawng: vun rawng (medium-light skin tone).
💆🏼‍♂	mipa massage dawng: vun rawng (medium-light skin tone).
💆🏽‍♂️	mipa massage dawng: vun rawng (medium skin tone).
💆🏽‍♂	mipa massage dawng: vun rawng (medium skin tone).
💆🏾‍♂️	mipa massage dawng: vun rawng (medium-dark skin tone) a ni
💆🏾‍♂	mipa massage dawng: vun rawng (medium-dark skin tone) a ni
💆🏿‍♂️	mipa massage dawng: vun dum
💆🏿‍♂	mipa massage dawng: vun dum
💆‍♀️	hmeichhia massage dawng
💆‍♀	hmeichhia massage dawng
💆🏻‍♀️	hmeichhia massage dawng: vun rawng hring
💆🏻‍♀	hmeichhia massage dawng: vun rawng hring
💆🏼‍♀️	hmeichhia massage dawng: vun rawng (medium-light skin tone).
💆🏼‍♀	hmeichhia massage dawng: vun rawng (medium-light skin tone).
💆🏽‍♀️	hmeichhia massage dawng: vun rawng (medium skin tone).
💆🏽‍♀	hmeichhia massage dawng: vun rawng (medium skin tone).
💆🏾‍♀️	hmeichhia massage dawng: vun rawng (medium-dark skin tone).
💆🏾‍♀	hmeichhia massage dawng: vun rawng (medium-dark skin tone).
💆🏿‍♀️	hmeichhia massage dawng: vun dum
💆🏿‍♀	hmeichhia massage dawng: vun dum
💇	mi pakhatin sam a tan
💇🏻	mi sam tan: vun rawng hring
💇🏼	mi sam tan: vun rawng (medium-light skin tone).
💇🏽	mi sam tan: vun rawng (medium skin tone).
💇🏾	mi sam tan: vun rawng (medium-dark skin tone).
💇🏿	mi sam tan: vun dum
💇‍♂️	mipa sam tan lai
💇‍♂	mipa sam tan lai
💇🏻‍♂️	mipa sam tan: vun rawng hring
💇🏻‍♂	mipa sam tan: vun rawng hring
💇🏼‍♂️	mipa sam tan: vun rawng (medium-light skin tone).
💇🏼‍♂	mipa sam tan: vun rawng (medium-light skin tone).
💇🏽‍♂️	mipa sam tan: vun rawng (medium skin tone).
💇🏽‍♂	mipa sam tan: vun rawng (medium skin tone).
💇🏾‍♂️	mipa sam tan: vun rawng (medium-dark skin tone).
💇🏾‍♂	mipa sam tan: vun rawng (medium-dark skin tone).
💇🏿‍♂️	mipa sam tan: vun dum
💇🏿‍♂	mipa sam tan: vun dum
💇‍♀️	hmeichhia sam tan lai
💇‍♀	hmeichhia sam tan lai
💇🏻‍♀️	hmeichhia sam tan: vun rawng hring
💇🏻‍♀	hmeichhia sam tan: vun rawng hring
💇🏼‍♀️	hmeichhe sam tan: vun rawng (medium-light skin tone).
💇🏼‍♀	hmeichhe sam tan: vun rawng (medium-light skin tone).
💇🏽‍♀️	hmeichhe sam tan: vun rawng (medium skin tone).
💇🏽‍♀	hmeichhe sam tan: vun rawng (medium skin tone).
💇🏾‍♀️	hmeichhe sam tan: vun rawng (medium-dark skin tone).
💇🏾‍♀	hmeichhe sam tan: vun rawng (medium-dark skin tone).
💇🏿‍♀️	hmeichhe sam tan: vun dum
💇🏿‍♀	hmeichhe sam tan: vun dum
🚶	mi kal
🚶🏻	mi kal: vun rawng hring
🚶🏼	mi kal: vun rawng (medium-light skin tone).
🚶🏽	mi kal: vun rawng (medium skin tone).
🚶🏾	mi kal: vun rawng (medium-dark skin tone).
🚶🏿	mi kal: vun dum
🚶‍♂️	mipa kal lai
🚶‍♂	mipa kal lai
🚶🏻‍♂️	mipa kal: vun rawng hring
🚶🏻‍♂	mipa kal: vun rawng hring
🚶🏼‍♂️	mipa kal: vun rawng (medium-light skin tone).
🚶🏼‍♂	mipa kal: vun rawng (medium-light skin tone).
🚶🏽‍♂️	mipa kal: vun rawng (medium skin tone).
🚶🏽‍♂	mipa kal: vun rawng (medium skin tone).
🚶🏾‍♂️	mipa kal: vun rawng (medium-dark skin tone) a ni
🚶🏾‍♂	mipa kal: vun rawng (medium-dark skin tone) a ni
🚶🏿‍♂️	mipa kal: vun dum
🚶🏿‍♂	mipa kal: vun dum
🚶‍♀️	hmeichhe kal
🚶‍♀	hmeichhe kal
🚶🏻‍♀️	hmeichhe kal: vun rawng hring
🚶🏻‍♀	hmeichhe kal: vun rawng hring
🚶🏼‍♀️	hmeichhe kal: vun rawng (medium-light skin tone).
🚶🏼‍♀	hmeichhe kal: vun rawng (medium-light skin tone).
🚶🏽‍♀️	hmeichhe kal: vun rawng (medium skin tone).
🚶🏽‍♀	hmeichhe kal: vun rawng (medium skin tone).
🚶🏾‍♀️	hmeichhe kal: vun rawng (medium-dark skin tone).
🚶🏾‍♀	hmeichhe kal: vun rawng (medium-dark skin tone).
🚶🏿‍♀️	hmeichhe kal: vun dum
🚶🏿‍♀	hmeichhe kal: vun dum
🏃	mi tlan
🏃🏻	mi tlan: vun rawng hring
🏃🏼	mi tlan: vun rawng (medium-light skin tone) a ni
🏃🏽	mi tlan: vun rawng (medium skin tone).
🏃🏾	mi tlan: vun rawng (medium-dark skin tone) a ni
🏃🏿	mi tlan: vun dum
🏃‍♂️	mipa tlan
🏃‍♂	mipa tlan
🏃🏻‍♂️	mipa tlan: vun rawng hring
🏃🏻‍♂	mipa tlan: vun rawng hring
🏃🏼‍♂️	mipa tlan: vun rawng (medium-light skin tone) a ni
🏃🏼‍♂	mipa tlan: vun rawng (medium-light skin tone) a ni
🏃🏽‍♂️	mipa tlan: vun rawng (medium skin tone).
🏃🏽‍♂	mipa tlan: vun rawng (medium skin tone).
🏃🏾‍♂️	mipa tlan: vun rawng (medium-dark skin tone) a ni
🏃🏾‍♂	mipa tlan: vun rawng (medium-dark skin tone) a ni
🏃🏿‍♂️	mipa tlan: vun dum
🏃🏿‍♂	mipa tlan: vun dum
🏃‍♀️	hmeichhe tlan
🏃‍♀	hmeichhe tlan
🏃🏻‍♀️	hmeichhe tlan: vun rawng hring
🏃🏻‍♀	hmeichhe tlan: vun rawng hring
🏃🏼‍♀️	hmeichhe tlan: vun rawng (medium-light skin tone).
🏃🏼‍♀	hmeichhe tlan: vun rawng (medium-light skin tone).
🏃🏽‍♀️	hmeichhe tlan: vun rawng (medium skin tone).
🏃🏽‍♀	hmeichhe tlan: vun rawng (medium skin tone).
🏃🏾‍♀️	hmeichhe tlan: vun rawng (medium-dark skin tone).
🏃🏾‍♀	hmeichhe tlan: vun rawng (medium-dark skin tone).
🏃🏿‍♀️	hmeichhe tlan: vun dum
🏃🏿‍♀	hmeichhe tlan: vun dum
💃	hmeichhe zai lai
💃🏻	hmeichhe zai: vun rawng hring
💃🏼	hmeichhe zai: vun rawng (medium-light skin tone).
💃🏽	hmeichhe zai: vun rawng (medium skin tone).
💃🏾	hmeichhe zai: vun rawng (medium-dark skin tone).
💃🏿	hmeichhe zai: vun dum
🕺	mipa zai lai
🕺🏻	mipa zai: vun rawng hring
🕺🏼	mipa lam: vun rawng (medium-light skin tone) a ni
🕺🏽	mipa lam: vun rawng (medium skin tone).
🕺🏾	mipa lam: vun rawng (medium-dark skin tone) a ni
🕺🏿	mipa zai: vun dum hring
👯	mi bunny beng nei te
👯‍♂️	mipa bunny beng nei
👯‍♂	mipa bunny beng nei
👯‍♀️	hmeichhia bunny beng nei
👯‍♀	hmeichhia bunny beng nei
🧖	mi pakhat chu steamy room-ah a awm
🧖🏻	mi chu steamy room-ah a awm: vun rawng hring
🧖🏼	mi chu steamy room-ah a awm: vun rawng (medium-light skin tone).
🧖🏽	mi chu steamy room-ah a awm: vun rawng (medium skin tone).
🧖🏾	mi chu steamy room-ah a awm: vun rawng (medium-dark skin tone).
🧖🏿	mi chu steamy room-ah a awm: vun rawng dum
🧖‍♀️	hmeichhia chu steamy room-ah a awm
🧖‍♀	hmeichhia chu steamy room-ah a awm
🧖🏻‍♀️	hmeichhia steamy room-a awm: vun rawng hring
🧖🏻‍♀	hmeichhia steamy room-a awm: vun rawng hring
🧖🏼‍♀️	hmeichhia steamy room-a awm: vun rawng chu medium-light
🧖🏼‍♀	hmeichhia steamy room-a awm: vun rawng chu medium-light
🧖🏽‍♀️	hmeichhia steamy room-a awm: vun rawng (medium skin tone).
🧖🏽‍♀	hmeichhia steamy room-a awm: vun rawng (medium skin tone).
🧖🏾‍♀️	hmeichhia steamy room-a awm: vun rawng chu medium-dark
🧖🏾‍♀	hmeichhia steamy room-a awm: vun rawng chu medium-dark
🧖🏿‍♀️	hmeichhia steamy room-a awm: vun dum
🧖🏿‍♀	hmeichhia steamy room-a awm: vun dum
🧖‍♂️	mipa chu steamy room-ah a awm
🧖‍♂	mipa chu steamy room-ah a awm
🧖🏻‍♂️	mipa in steamy room: vun rawng hring
🧖🏻‍♂	mipa in steamy room: vun rawng hring
🧖🏼‍♂️	mipa chu steamy room-ah a awm: vun rawng (medium-light skin tone).
🧖🏼‍♂	mipa chu steamy room-ah a awm: vun rawng (medium-light skin tone).
🧖🏽‍♂️	mipa chu steamy room-ah a awm: vun rawng (medium skin tone).
🧖🏽‍♂	mipa chu steamy room-ah a awm: vun rawng (medium skin tone).
🧖🏾‍♂️	mipa chu steamy room-ah a awm: vun rawng (medium-dark skin tone).
🧖🏾‍♂	mipa chu steamy room-ah a awm: vun rawng (medium-dark skin tone).
🧖🏿‍♂️	mipa in steamy room: vun rawng dum
🧖🏿‍♂	mipa in steamy room: vun rawng dum
🧗	mi a chhoh
🧗🏻	mi lawn: vun rawng hring
🧗🏼	mi lawn: vun rawng (medium-light skin tone).
🧗🏽	mi lawn: vun rawng (medium skin tone).
🧗🏾	mi lawn: vun rawng (medium-dark skin tone).
🧗🏿	mi climbing: vun rawng dum
🧗‍♀️	hmeichhia a chho
🧗‍♀	hmeichhia a chho
🧗🏻‍♀️	hmeichhe lawn: vun rawng hring
🧗🏻‍♀	hmeichhe lawn: vun rawng hring
🧗🏼‍♀️	hmeichhe lawn: vun rawng (medium-light skin tone).
🧗🏼‍♀	hmeichhe lawn: vun rawng (medium-light skin tone).
🧗🏽‍♀️	hmeichhe lawn: vun rawng (medium skin tone).
🧗🏽‍♀	hmeichhe lawn: vun rawng (medium skin tone).
🧗🏾‍♀️	hmeichhe lawn: vun rawng (medium-dark skin tone).
🧗🏾‍♀	hmeichhe lawn: vun rawng (medium-dark skin tone).
🧗🏿‍♀️	hmeichhe lawn: vun dum
🧗🏿‍♀	hmeichhe lawn: vun dum
🧗‍♂️	mipa a chho
🧗‍♂	mipa a chho
🧗🏻‍♂️	mipa lawn: vun rawng hring
🧗🏻‍♂	mipa lawn: vun rawng hring
🧗🏼‍♂️	mipa lawn: vun rawng (medium-light skin tone).
🧗🏼‍♂	mipa lawn: vun rawng (medium-light skin tone).
🧗🏽‍♂️	mipa lawn: vun rawng (medium skin tone).
🧗🏽‍♂	mipa lawn: vun rawng (medium skin tone).
🧗🏾‍♂️	mipa lawn: vun rawng (medium-dark skin tone).
🧗🏾‍♂	mipa lawn: vun rawng (medium-dark skin tone).
🧗🏿‍♂️	mipa lawn: vun rawng dum
🧗🏿‍♂	mipa lawn: vun rawng dum
🧘	mi lotus position-a awm
🧘🏻	mi lotus position-a awm: vun rawng hring
🧘🏼	mi lotus position-a awm: vun rawng (medium-light skin tone).
🧘🏽	mi lotus position-a awm: vun rawng (medium skin tone).
🧘🏾	mi lotus position-a awm: vun rawng (medium-dark skin tone).
🧘🏿	mi lotus position-a awm: vun dum
🧘‍♀️	hmeichhia lotus position-a awm
🧘‍♀	hmeichhia lotus position-a awm
🧘🏻‍♀️	hmeichhia lotus position-a awm: vun rawng hring
🧘🏻‍♀	hmeichhia lotus position-a awm: vun rawng hring
🧘🏼‍♀️	hmeichhia lotus position-a awm: vun rawng (medium-light skin tone).
🧘🏼‍♀	hmeichhia lotus position-a awm: vun rawng (medium-light skin tone).
🧘🏽‍♀️	hmeichhia lotus position-a awm: vun rawng (medium skin tone).
🧘🏽‍♀	hmeichhia lotus position-a awm: vun rawng (medium skin tone).
🧘🏾‍♀️	hmeichhia lotus position-a awm: vun rawng (medium-dark skin tone).
🧘🏾‍♀	hmeichhia lotus position-a awm: vun rawng (medium-dark skin tone).
🧘🏿‍♀️	hmeichhia lotus position-a awm: vun dum
🧘🏿‍♀	hmeichhia lotus position-a awm: vun dum
🧘‍♂️	mipa chu lotus position-ah a awm
🧘‍♂	mipa chu lotus position-ah a awm
🧘🏻‍♂️	mipa lotus position-a awm: vun rawng hring
🧘🏻‍♂	mipa lotus position-a awm: vun rawng hring
🧘🏼‍♂️	mipa lotus position-a awm: vun rawng (medium-light skin tone).
🧘🏼‍♂	mipa lotus position-a awm: vun rawng (medium-light skin tone).
🧘🏽‍♂️	mipa lotus position-a awm: vun rawng (medium skin tone).
🧘🏽‍♂	mipa lotus position-a awm: vun rawng (medium skin tone).
🧘🏾‍♂️	mipa lotus position-a awm: vun rawng (medium-dark skin tone).
🧘🏾‍♂	mipa lotus position-a awm: vun rawng (medium-dark skin tone).
🧘🏿‍♂️	mipa lotus position-a awm: vun rawng dum
🧘🏿‍♂	mipa lotus position-a awm: vun rawng dum
🛀	mi inbual lai
🛀🏻	mi inbual: vun rawng hring
🛀🏼	mi inbual: vun rawng (medium-light skin tone).
🛀🏽	mi inbual: vun rawng (medium skin tone).
🛀🏾	mi inbual: vun rawng (medium-dark skin tone).
🛀🏿	mi inbual: vun rawng dum
🛌	khumah mi pakhat
🛌🏻	khumah mi: vun rawng hring
🛌🏼	khumah mi: vun rawng (medium-light skin tone).
🛌🏽	khumah mi: vun rawng (medium skin tone).
🛌🏾	khumah mi: vun rawng (medium-dark skin tone) a ni
🛌🏿	khumah mi: vun dum
🕴️	mipa suit ha chunga levitating
🕴	mipa suit ha chunga levitating
🕴🏻	mipa suit ha levitating: vun rawng hring
🕴🏼	mipa suit ha levitating: vun rawng (medium-light skin tone) a ni
🕴🏽	mipa suit ha levitating: vun rawng (medium skin tone) a ni
🕴🏾	mipa suit ha levitating: vun rawng dum (medium-dark skin tone) a ni
🕴🏿	mipa suit ha levitating: vun dum
🗣️	thusawi lu
🗣	thusawi lu
👤	bust chu silhouette-ah a awm
👥	busts te chu silhouette ah a awm
🤺	mi fencing
🏇	sakawr intlansiakna
🏇🏻	sakawr intlansiak: vun rawng hring
🏇🏼	sakawr intlansiak: vun rawng (medium-light skin tone) a ni
🏇🏽	sakawr intlansiak: vun rawng (medium skin tone) a ni
